date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,256.03835268,261.68588555,254.9306086,257.59118652,18822400,1,,,,,,,,,,,,,,,,
2025-09-11,257.50216232,258.77806008,255.40535681,256.07791138,10005000,2,,,,,,,,,,,-0.00587472,,,,,
2025-09-12,257.99670951,258.0956217,255.55372629,256.49331665,8496600,3,,,,,,,,,,,0.00162218,,,,,
2025-09-15,257.15602517,259.92538568,255.91969813,258.52093506,8147700,4,,,,,,,,,,,0.00790515,,,,,
2025-09-16,263.8409761,264.35689969,258.57246331,260.01113892,10381900,5,,,,,,,,,,,0.00576434,,,,,
2025-09-17,262.27334337,262.73967004,257.69939963,260.73547363,10422000,6,,,,,,,,,,,0.00278578,0.0122065,,,,
2025-09-18,255.98287567,268.42484252,255.96304293,266.53970337,16917300,7,,,,,,,,,,,0.02226099,0.04085394,,,,
2025-09-19,264.28743638,264.48588483,260.75527192,262.79916382,17640200,8,,,,,,,,,,,-0.0140337,0.02458484,,,,
2025-09-22,264.45615149,274.19935398,263.37467694,270.49853516,15630300,9,,,,,,,,,,,0.02929755,0.04633126,,,,
2025-09-23,280.19215139,283.76401214,277.81092098,280.49972534,17830300,10,,,,,,,,,,,0.03697318,0.07879888,,,,
2025-09-24,278.11848367,279.01144125,274.55655457,278.51535034,10231000,11,,,,,,,,,,,-0.00707443,0.06819125,,,,
2025-09-25,270.9847075,274.97329799,268.07762188,274.49703979,11863400,12,,,,,,,,,,,-0.01442761,0.02985423,,,,
2025-09-26,271.74869427,273.34609247,268.50424033,271.22280884,10451900,13,,,,,,,,,,,-0.01192811,0.03205355,,,,
2025-09-29,274.32836448,277.68194416,271.09387207,271.09387207,8046200,14,,,,,,,,,,,-0.00047539,0.00220089,,,,
2025-09-30,273.1675127,277.30489403,271.68914116,277.10647583,8348800,15,,,,69.98099628,,,,,,,0.02217905,-0.01209716,,,,
2025-10-01,276.26307925,288.20895558,275.00301937,286.21466064,14620100,16,,,,75.00203253,,,,,,,0.0328689,0.02764411,,,,rsi_overbought
2025-10-02,294.20173545,294.40018392,284.78593989,285.85748291,10198000,17,,,,74.47595423,,,,,,,-0.00124794,0.0413864,,,,rsi_overbought
2025-10-03,290.570354,293.74534794,288.21888792,289.90560913,10572500,18,,,,76.48878293,,,,,,,0.01416134,0.06888359,,,,rsi_overbought
2025-10-06,297.66446787,304.89745131,297.59500788,300.0357666,15785000,19,,,,80.60965921,,,,,,,0.03494295,0.10675968,,,,rsi_overbought
2025-10-07,304.22276587,304.69902402,290.98706485,291.73120117,13081000,20,272.79736786,,,69.80768579,272.79736786,298.47363536,247.12110036,,,,-0.02767858,0.05277656,,0.20172826,,
2025-10-08,292.69363084,304.0044973,291.68161631,302.13919067,12821200,21,275.02476807,,,74.43200053,275.02476807,302.6900602,247.35947593,,,,0.03567664,0.05563841,0.17294072,0.23490147,0.30022679,rsi_overbought
