date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-03,856.12747062,861.04209445,854.16162109,854.16162109,0,1,,,,,,,,,,,,,,,,
2025-09-04,859.07624492,859.07624492,854.16162109,854.16162109,0,2,,,,,,,,,,,0,,,,,
2025-09-05,857.11042229,859.07627188,848.26409912,848.26409912,0,3,,,,,,,,,,,-0.00690446,,,,,
2025-09-08,860.05923347,860.05923347,853.1787596,858.09338379,0,4,,,,,,,,,,,0.01158753,,,,,
2025-09-09,870.8713233,871.85424805,868.90547381,871.85424805,0,5,,,,,,,,,,,0.01603656,,,,,
2025-09-10,886.59812993,888.56397944,886.59812993,887.58105469,0,6,,,,,,,,,,,0.01803834,0.03912542,,,,
2025-09-11,889.54696259,908.22253418,888.56403777,908.22253418,0,7,,,,,,,,,,,0.02325588,0.0632912,,,,
2025-09-12,914.12005615,916.08590574,914.12005615,914.12005615,0,8,,,,,,,,,,,0.00649348,0.07763615,,,,
2025-09-15,925.91513191,927.88098145,923.94928237,927.88098145,0,9,,,,,,,,,,,0.01505374,0.08132867,,,,
2025-09-16,956.38578332,956.38578332,949.50531006,949.50531006,7,10,,,,,,,,,,,0.02330507,0.08906427,,,,
2025-09-17,937.71020775,976.04427285,937.71020775,941.64190674,50,11,,,,,,,,,,,-0.00828158,0.06090807,,,,
2025-09-18,960.31747031,960.31747031,951.47114766,954.41992188,0,12,,,,,,,,,,,0.01356993,0.05086571,,,,
2025-09-19,953.43707275,953.43707275,950.4882983,953.43707275,0,13,,,,,,,,,,,-0.00102979,0.04301078,,,,
2025-09-22,986.85647198,990.78817107,980.95892334,980.95892334,0,14,,,,,,,,,,,0.02886593,0.05720339,,,,
2025-09-23,990.78814963,994.71984863,986.85645062,994.71984863,0,15,,,,91.32952624,,,,,,,0.01402803,0.04761905,,,,rsi_overbought
2025-09-24,990.78817622,998.65157444,986.8564771,988.82232666,4,16,,,,88.04120397,,,,,,,-0.00592883,0.05010442,,,,rsi_overbought
2025-09-25,1000.61739714,1000.61739714,988.82230012,994.71984863,0,17,,,,88.48759347,,,,,,,0.00596419,0.04222452,,,,rsi_overbought
2025-09-26,982.92479727,982.92479727,966.21507572,971.12969971,2,18,,,,76.2301698,,,,,,,-0.02371537,0.01855668,,,,rsi_overbought
2025-09-29,991.21494746,995.17189336,989.23647451,993.19342041,50,19,,,,79.14056583,,,,,,,0.02271964,0.01247198,,,,rsi_overbought
2025-09-30,991.21494148,991.21494148,983.30104973,987.25799561,0,20,931.7072937,,,76.42947164,931.7072937,1035.88647773,827.52810968,,,,-0.0059761,-0.00750146,,-0.37960736,,rsi_overbought
2025-10-01,1005.06427506,1030.78442383,1005.06427506,1030.78442383,0,21,940.53843384,,,81.4484158,940.53843384,1046.84899547,834.22787221,,,,0.0440882,0.04243644,0.20677914,-0.37960736,0.24341764,rsi_overbought
2025-10-02,1044.63370968,1050.56912849,1044.63370968,1046.61218262,0,22,950.16096191,,,82.87629619,950.16096191,1058.27988074,842.04204309,,,,0.01535506,0.05216779,0.22530931,-0.37960736,0.2416108,rsi_overbought
2025-10-03,1054.52608631,1058.48303223,1052.54761335,1058.48303223,0,23,960.67190857,,,83.87851583,960.67190857,1067.99348452,853.35033262,,,,0.01134217,0.08995022,0.2478225,-0.37960736,0.23331987,rsi_overbought
2025-10-06,1052.54761922,1064.41845703,1052.54761922,1064.41845703,0,24,970.98816223,,,84.37106466,970.98816223,1076.53634469,865.43997977,,,,0.00560748,0.07171316,0.24044594,-0.37960736,0.23412312,rsi_overbought
2025-10-07,1066.39693588,1070.35388184,1066.39693588,1070.35388184,0,25,980.91314392,,,84.86891523,980.91314392,1084.62235485,877.20393299,,,,0.00557621,0.08416836,0.22767525,-0.37960736,0.23405089,rsi_overbought
