date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-11,752.18464849,754.62659589,745.9251355,748.44689941,7923300,1,,,,,,,,,,,,,,,,
2025-09-12,746.28400728,755.09515528,741.33027263,753.12164307,8248600,2,,,,,,,,,,,0.00624593,,,,,
2025-09-15,754.9954213,771.5412279,749.53334317,762.20184326,10533800,3,,,,,,,,,,,0.01205675,,,,,
2025-09-16,764.49440122,778.80747606,762.60058371,776.4552002,11782500,4,,,,,,,,,,,0.01870024,,,,,
2025-09-17,777.4419223,780.73112971,763.80661937,773.18585205,9400900,5,,,,,,,,,,,-0.00421061,,,,,
2025-09-18,778.19941639,786.20321288,770.83354372,777.7010498,10955000,6,,,,,,,,,,,0.00583973,0.03908647,,,,
2025-09-19,783.85093254,788.21662897,766.67723839,775.83721924,23696800,7,,,,,,,,,,,-0.00239659,0.0301619,,,,
2025-09-22,779.82175524,783.69169488,762.48683634,763.17504883,11706900,8,,,,,,,,,,,-0.01632065,0.00127683,,,,
2025-09-23,767.25447684,768.60095043,749.12164516,753.44042969,10872600,9,,,,,,,,,,,-0.01275542,-0.02964082,,,,
2025-09-24,755.53499163,759.13561242,750.57791338,758.68676758,8828200,10,,,,,,,,,,,0.00696318,-0.01875239,,,,
2025-09-25,751.49554726,754.80694242,742.6186097,746.96728516,10591100,11,,,,,,,,,,,-0.01544706,-0.03951874,,,,
2025-09-26,748.05446593,749.97945211,735.43725625,741.82067871,9696300,12,,,,,,,,,,,-0.00689,-0.04384495,,,,
2025-09-29,746.77770334,748.8324179,737.23258262,741.47155762,9246800,13,,,,,,,,,,,-0.00047063,-0.02843842,,,,
2025-09-30,740.32455543,741.04265848,724.41591858,732.47497559,16226800,14,,,,,,,,,,,-0.01213341,-0.02782629,,,,
2025-10-01,719.61838504,719.97743656,708.35769416,715.47918701,20419600,15,,,,34.80853984,,,,,,,-0.02320323,-0.05695049,,,,
2025-10-02,720.70562598,725.88216542,716.27714102,725.16400146,11415300,16,,,,40.52528772,,,,,,,0.01353612,-0.02918907,,,,
2025-10-03,727.73727371,729.10371493,708.33771673,708.71673584,16154300,17,,,,34.92420547,,,,,,,-0.02268075,-0.04462526,,,,
2025-10-06,703.36071657,715.02039477,688.71880428,713.80352783,21654700,18,,,,37.78808263,,,,,,,0.00717747,-0.03731503,,,,
2025-10-07,715.85814177,716.63614761,703.91922223,711.23022461,12062900,19,,,,36.90330957,,,,,,,-0.00360506,-0.02900406,,,,
2025-10-08,711.59933926,717.78326878,705.97395468,715.97796631,10790600,20,744.76790466,,,39.70820115,744.76790466,790.56387547,698.97193386,,,,0.00667539,0.00069713,,-0.4082239,,
2025-10-09,716.41670606,731.60717773,710.59182908,731.60717773,12717200,21,743.92591858,,,47.91635578,743.92591858,790.03848873,697.81334843,,,,0.02182918,0.00888513,-0.02249955,-0.03070708,0.20397679,
2025-10-10,729.02393329,733.36268565,702.68246917,703.47039795,16980100,22,741.44335632,,,37.91023441,741.44335632,790.55683945,692.3298732,,,,-0.03845886,-0.00740259,-0.06592726,0.86293401,0.23938361,
2025-10-13,711.1603596,718.07237488,705.80429502,713.84338379,9251800,23,739.02543335,,,42.66385537,739.02543335,788.57255798,689.47830872,,,,0.01474545,0.00005584,-0.06344574,-0.91698399,0.24172462,
2025-10-14,705.94396829,713.69377064,697.51587637,706.81170654,8829800,24,735.54325867,,,40.40553665,735.54325867,783.85229247,687.23422486,,,,-0.00985045,-0.0062125,-0.08969416,-0.95911377,0.22904915,
