date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-09,135.52999878,136.42999268,134.69000244,136.41000366,4124200,1,,,,,,,,,,,,,,,,
2025-09-10,136,136.6000061,131.96000671,132.13999939,4828900,2,,,,,,,,,,,-0.03130272,,,,,
2025-09-11,132.91000366,136.13999939,132.58999634,135.69999695,3859000,3,,,,,,,,,,,0.0269411,,,,,
2025-09-12,135.58000183,135.80000305,134.27999878,134.32000732,2913400,4,,,,,,,,,,,-0.01016942,,,,,
2025-09-15,135.19999695,135.88000488,132.57000732,132.6499939,2969900,5,,,,,,,,,,,-0.0124331,,,,,
2025-09-16,131.47000122,133.94999695,130.75999451,132.75,3374200,6,,,,,,,,,,,0.00075391,-0.0268309,,,,
2025-09-17,133.32000732,135.58999634,133.24000549,134.17999268,3042900,7,,,,,,,,,,,0.01077207,0.01543812,,,,
2025-09-18,135.11999512,135.32000732,132.3999939,132.86999512,3239400,8,,,,,,,,,,,-0.00976299,-0.02085484,,,,
2025-09-19,133.36999512,133.36999512,131.38999939,131.80000305,10593600,9,,,,,,,,,,,-0.00805292,-0.0187612,,,,
2025-09-22,130.83000183,131.97000122,128.75,130.47999573,7526800,10,,,,,,,,,,,-0.01001523,-0.01635883,,,,
2025-09-23,130.88999939,131.72000122,128.80999756,129.82000732,7440600,11,,,,,,,,,,,-0.00505816,-0.02207151,,,,
2025-09-24,130.50999451,130.8500061,129.49000549,130.58999634,6231000,12,,,,,,,,,,,0.0059312,-0.02675508,,,,
2025-09-25,130.00999451,130.77000427,128.08000183,128.66000366,4520000,13,,,,,,,,,,,-0.01477902,-0.03168504,,,,
2025-09-26,128.80000305,130.58000183,128.57000732,129.55999756,3202300,14,,,,,,,,,,,0.00699513,-0.01699549,,,,
2025-09-29,129.57000732,130.63999939,128.6000061,130.44999695,3990300,15,,,,35.98302726,,,,,,,0.0068694,-0.00022991,,,,
2025-09-30,130.13000488,130.3999939,127.41000366,128.92999268,4764300,16,,,,33.41055524,,,,,,,-0.01165201,-0.00685576,,,,
2025-10-01,128.27999878,129.63999939,124.88999939,126.08999634,5073500,17,,,,29.20885428,,,,,,,-0.02202743,-0.03445899,,,,rsi_oversold
2025-10-02,126.08999634,127.73999786,125.01000214,125.76000214,5563800,18,,,,28.75632361,,,,,,,-0.00261713,-0.02254004,,,,rsi_oversold
2025-10-03,126.13999939,129.8500061,126.12999725,127.55999756,4432000,19,,,,34.6992637,,,,,,,0.01431294,-0.01543686,,,,
2025-10-06,128,128.24000549,125,125.05000305,5773000,20,130.78849907,,,30.8364366,130.78849907,137.04292203,124.53407611,,,,-0.01967697,-0.04139512,,0.47843004,,
2025-10-07,125.51000214,128.3500061,125.51000214,126.69000244,4196000,21,130.30249901,,,35.86061873,130.30249901,136.23649383,124.36850419,,,,0.01311475,-0.01737369,-0.07125578,-0.3622017,0.22024308,
