date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-16,414.5,423.25,411.42999268,421.61999512,104285700,1,,,,,,,,,,,,,,,,
2025-09-17,415.75,428.30999756,409.67001343,425.85998535,106133500,2,,,,,,,,,,,0.01005643,,,,,
2025-09-18,428.86999512,432.22000122,416.55999756,416.8500061,90454500,3,,,,,,,,,,,-0.02115714,,,,,
2025-09-19,421.82000732,429.47000122,421.72000122,426.07000732,93131000,4,,,,,,,,,,,0.02211827,,,,,
2025-09-22,431.10998535,444.98001099,429.13000488,434.20999146,97108800,5,,,,,,,,,,,0.0191048,,,,,
2025-09-23,439.88000488,440.97000122,423.72000122,425.8500061,83422700,6,,,,,,,,,,,-0.01925332,0.01003276,,,,
2025-09-24,429.82998657,444.20999146,429.02999878,442.79000854,93133600,7,,,,,,,,,,,0.03977927,0.0397549,,,,
2025-09-25,435.23999023,435.3500061,419.07998657,423.39001465,96746400,8,,,,,,,,,,,-0.04381308,0.01568912,,,,
2025-09-26,428.29998779,440.47000122,421.01998901,440.3999939,101628200,9,,,,,,,,,,,0.04017567,0.03363294,,,,
2025-09-29,444.3500061,450.98001099,439.5,443.20999146,79491500,10,,,,,,,,,,,0.00638056,0.0207273,,,,
2025-09-30,441.51998901,445,433.11999512,444.72000122,74358000,11,,,,,,,,,,,0.00340698,0.04431137,,,,
2025-10-01,443.79998779,462.29000854,440.75,459.45999146,98122300,12,,,,,,,,,,,0.03314443,0.0376476,,,,
2025-10-02,470.54000854,470.75,435.57000732,436,137009000,13,,,,,,,,,,,-0.05105992,0.02978338,,,,
2025-10-03,443.29000854,446.76998901,416.57998657,429.82998657,133188200,14,,,,,,,,,,,-0.01415141,-0.02400093,,,,
2025-10-06,440.75,453.54998779,436.69000244,453.25,85324900,15,,,,59.61808004,,,,,,,0.05448669,0.02265294,,,,
2025-10-07,447.82000732,452.67999268,432.45001221,433.08999634,102296100,16,,,,52.66444454,,,,,,,-0.04447877,-0.0261513,,,,
2025-10-08,437.57000732,441.32998657,425.23001099,438.69000244,71192100,17,,,,54.26035778,,,,,,,0.01293035,-0.04520522,,,,
2025-10-09,431.80999756,436.3500061,426.17999268,435.54000854,69339900,18,,,,53.17435748,,,,,,,-0.00718046,-0.00105503,,,,
2025-10-10,436.54000854,443.13000488,411.45001221,413.48999023,112107900,19,,,,46.20322261,,,,,,,-0.05062685,-0.03801502,,,,
2025-10-13,423.52999878,436.89001465,419.70001221,435.8999939,79552800,20,434.01099854,,,52.95383426,434.01099854,456.65238918,411.36960789,,,,0.05419721,-0.03827911,,-0.89847951,,
2025-10-14,426.79000854,434.20001221,417.85998535,429.23999023,72669400,21,434.39199829,,,50.90926913,434.39199829,456.43507063,412.34892596,,,,-0.01527874,-0.00888962,0.01807314,-1.16338637,0.52297201,
2025-10-15,434.8999939,440.51000977,426.32998657,435.1499939,71558200,22,434.85649872,,,52.65615693,434.85649872,456.5495819,413.16341554,,,,0.01376853,-0.0080695,0.0218147,-1.10589423,0.52389956,
2025-10-16,434.73001099,439.3500061,421.30999756,428.75,77189900,23,435.45149841,,,50.55802818,435.45149841,455.74398149,415.15901534,,,,-0.01470756,-0.01558986,0.02854742,-0.75541357,0.52083197,
2025-10-17,425.5,441.45999146,423.6000061,439.30999756,89331600,24,436.11349792,,,53.82720269,436.11349792,455.99834201,416.22865384,,,,0.02462973,0.06244409,0.03107468,-0.10116665,0.52212828,
2025-10-20,443.86999512,449.79998779,440.60998535,447.42999268,63719000,25,436.77449799,,,56.22412412,436.77449799,457.23292615,416.31606982,,,,0.01848352,0.02645102,0.0304461,-1.31120328,0.5218773,
2025-10-21,445.76000977,449.29998779,442.04998779,442.6000061,54412200,26,437.61199799,,,54.41462615,437.61199799,457.57847145,417.64552452,,,,-0.01079495,0.03112482,0.0393331,-1.59518428,0.51833713,
2025-10-22,443.45001221,445.54000854,429,438.97000122,84023500,27,437.42099762,,,53.03319525,437.42099762,457.25835162,417.58364362,,,,-0.00820155,0.0087786,-0.00862713,-0.17236625,0.50111107,
2025-10-23,420,449.3999939,413.8999939,448.98001099,126709800,28,438.70049744,,,56.32587649,438.70049744,458.04786408,419.35313079,,,,0.0228034,0.0471837,0.06044072,1.65343896,0.48017878,
2025-10-24,446.82998657,451.67999268,430.17001343,433.72000122,94727800,29,438.3664978,,,50.51209087,438.3664978,457.81534825,418.91764735,,,,-0.03398817,-0.01272449,-0.01516801,0.26193037,0.47714993,
2025-10-27,439.98001099,460.16000366,438.69000244,452.42001343,105867500,30,438.8269989,,,56.4449175,438.8269989,459.13014922,418.52384858,,,,0.0431154,0.01115263,0.02078027,0.69136254,0.50002017,
2025-10-28,454.77999878,467,451.6000061,460.54998779,80185700,31,439.61849823,,,58.75973102,439.61849823,461.91522853,417.32176793,,,,0.01796997,0.04055576,0.0355954,-0.45335675,0.50323904,
2025-10-29,462.5,465.70001221,452.6499939,461.51000977,67983500,32,439.72099915,,,59.03658452,439.72099915,462.39726077,417.04473752,,,,0.00208451,0.05134749,0.0044618,-0.90923112,0.49052848,
2025-10-30,451.04998779,455.05999756,439.60998535,440.1000061,72447900,33,439.92599945,,,50.83965227,439.92599945,462.53803835,417.31396055,,,,-0.0463912,-0.01977817,0.00940368,-0.64798425,0.48455078,
2025-10-31,446.75,458,443.69000244,456.55999756,83135800,34,441.2625,,,55.90822048,441.2625,464.48127369,418.04372631,5.13297116,3.23575232,1.89721884,0.03740057,0.05266069,0.0621874,-0.00306374,0.49699512,
2025-11-03,455.98999023,474.07000732,453.79998779,468.36999512,84595200,35,442.01849976,,,59.16166401,442.01849976,467.61241576,416.42458376,6.47166599,3.88293506,2.58873093,0.02586735,0.03525481,0.03335906,0.08346701,0.46908885,bollinger_above_upper
2025-11-04,454.45999146,460.22000122,443.6000061,444.26000977,87756600,36,442.57700043,,,50.9038009,442.57700043,467.85272164,417.30127921,5.52344611,4.21103727,1.31240884,-0.05147637,-0.03537071,0.02579144,0.31800716,0.4783729,
2025-11-05,452.04998779,466.32998657,440.70999146,462.07000732,85573000,37,443.74600067,,,55.81058702,443.74600067,470.32361436,417.16838698,6.13833409,4.59649663,1.54183746,0.04008913,0.0012134,0.05329505,0.14652624,0.49531306,
2025-11-06,461.95999146,467.45001221,435.08999634,445.91000366,109622900,38,444.26450043,,,50.84511261,444.26450043,470.5848937,417.94410715,5.26101431,4.72940017,0.53161414,-0.03497306,0.01320154,0.02380951,1.42149811,0.51163745,
2025-11-07,437.92001343,439.35998535,421.88000488,429.51998901,103471500,39,445.06600037,,,46.34172882,445.06600037,468.39537072,421.73663001,3.20623537,4.42476721,-1.21853184,-0.03675633,-0.05922553,0.03876756,1.1273612,0.49576834,
2025-11-10,439.6000061,449.67001343,433.35998535,445.23001099,76515900,40,445.53250122,,,50.8365672,445.53250122,468.48007787,422.58492457,2.81304866,4.1024235,-1.28937484,0.03657576,-0.04940535,0.02140403,-0.48293392,0.47591854,
2025-11-11,439.3999939,442.48999023,432.35998535,439.61999512,60533200,41,446.05150146,,,49.25001009,446.05150146,467.94707617,424.15592676,2.02541622,3.68702204,-1.66160582,-0.01260026,-0.01044437,0.02418229,-1.35319922,0.47481685,
2025-11-12,442.1499939,442.32998657,426.55999756,430.6000061,58513500,42,445.82400208,,,46.72504255,445.82400208,468.2559065,423.39209765,0.66570034,3.0827577,-2.41705736,-0.0205177,-0.06810657,-0.01045614,-1.37750696,0.47858895,
2025-11-13,423.13000488,424.5,396.33999634,401.98999023,118948000,43,444.48600159,,,39.7617896,444.48600159,473.15670378,415.81529939,-2.68947093,1.92831197,-4.6177829,-0.06644221,-0.09849524,-0.06241402,1.71754713,0.52930975,bollinger_below_lower
2025-11-14,386.29998779,412.19000244,382.77999878,404.3500061,105506700,44,442.73800201,,,40.54884315,442.73800201,476.30299237,409.17301166,-5.09925375,0.52279883,-5.62205258,0.00587083,-0.05860026,-0.07957932,0.96445217,0.52103961,bollinger_below_lower
2025-11-17,398.73999023,423.95999146,398.73999023,408.92001343,102214300,45,440.81250305,,,42.12574369,440.81250305,477.36529648,404.25970962,-6.56459009,-0.89467896,-5.66991114,0.01130211,-0.08155335,-0.08606928,0.71835277,0.51778771,
2025-11-18,405.38000488,408.8999939,393.70999146,401.25,80688600,46,438.74500275,,,40.19857995,438.74500275,479.13569194,398.35431355,-8.24968841,-2.36568085,-5.88400756,-0.01875676,-0.08727991,-0.09342523,-0.48368126,0.51984203,
2025-11-19,406.17999268,411.77999878,398.5,403.98999023,72047700,47,436.9960022,,,41.23287174,436.9960022,480.13234205,393.85966234,-9.25733387,-3.74401145,-5.51332242,0.00682864,-0.06179753,-0.07968656,-0.9093413,0.52103881,
2025-11-20,414.63000488,428.94000244,394.73999023,395.23001099,113548800,48,434.3085022,,,38.91551393,434.3085022,480.69825863,387.91874576,-10.64010477,-5.12323012,-5.51687466,-0.02168365,-0.01681629,-0.1197158,1.46406611,0.51533621,
2025-11-21,402.32000732,402.79998779,383.76000977,391.08999634,100460600,49,432.17700195,,,37.83331429,432.17700195,482.25029735,382.10370655,-11.93247511,-6.48507911,-5.44739599,-0.01047495,-0.0327934,-0.09828923,0.68571446,0.50547116,
2025-11-24,402.17001343,421.72000122,401.08999634,417.77999878,96806400,50,430.44500122,433.71380005,,47.89353765,430.44500122,479.99128709,380.89871535,-10.67991634,-7.32404656,-3.35586978,0.06824517,0.02166679,-0.07656605,0.51253441,0.54157884,
2025-11-25,414.42001343,420.48001099,405.95001221,419.3999939,71915600,51,428.38750153,433.66940002,,48.43894561,428.38750153,476.14771109,380.62729196,-9.44762806,-7.74876286,-1.6988652,0.00387763,0.04523363,-0.08934968,-0.90172112,0.53674822,
2025-11-26,423.95001221,426.94000244,416.89001465,426.57998657,63463000,52,426.64100037,433.68380005,,50.89237625,426.64100037,471.91869757,381.36330316,-7.8017318,-7.75935665,-0.04237515,0.01711968,0.05591722,-0.07568638,-1.35246084,0.54142993,
2025-11-28,426.58999634,432.92999268,426.20001221,430.17001343,36252900,53,426.14450073,433.9502002,,52.11917135,426.14450073,471.03710186,381.25189961,-6.13691941,-7.4348692,1.29794979,0.00841584,0.08840422,-0.02256304,-2.38077651,0.51927738,
2025-12-01,425.32000732,433.66000366,425.29000854,430.14001465,57463600,54,424.82350159,434.03160034,,52.10745712,424.82350159,467.56151532,382.08548785,-4.76503588,-6.90090253,2.13586666,-0.00006974,0.09984919,-0.05786749,-1.24183878,0.50056848,
2025-12-02,430.80999756,436.79998779,422.11999512,429.23999023,69336600,55,422.86700134,433.93220032,,51.73178505,422.86700134,460.75984895,384.97415374,-3.70769277,-6.26226058,2.55456781,-0.0020924,0.02743068,-0.08354507,-0.64967214,0.48985175,
2025-12-03,432.1000061,447.92001343,431.10998535,446.73999023,87483000,56,422.99100037,434.35,,58.06284518,422.99100037,461.17814682,384.80385391,-1.44102574,-5.29801361,3.85698787,0.04076973,0.06518836,0.00558227,0.18147212,0.48079043,
2025-12-04,449.94000244,454.63000488,445.39001465,454.52999878,71906500,57,422.61399994,434.5847998,,60.54377941,422.61399994,459.37263925,385.85536062,0.97270011,-4.04387087,5.01657098,0.01743746,0.06552115,-0.01631789,-0.49706873,0.4635061,
2025-12-05,453.02999878,458.86999512,451.66000366,455,56427500,58,423.06849976,435.21699951,,60.69486094,423.06849976,461.1683833,384.96861621,2.89020394,-2.65705591,5.54725985,0.00103404,0.05772133,0.02038527,-1.08928643,0.44607494,
