date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,216.61040987,222.91179761,216.0196482,222.66564941,920696,1,,,,,,,,,,,,,,,,
2025-09-09,222.37029497,223.05950694,220.00726318,220.00726318,925146,2,,,,,,,,,,,-0.01193891,,,,,
2025-09-10,224.97945212,227.04710298,222.9610339,225.42251587,1245765,3,,,,,,,,,,,0.02461397,,,,,
2025-09-11,225.57021085,228.77013737,223.94562375,226.11172485,1114134,4,,,,,,,,,,,0.00305741,,,,,
2025-09-12,226.30865341,230.24702448,223.94562176,228.42552185,1101223,5,,,,,,,,,,,0.01023298,,,,,
2025-09-15,228.72090306,231.18238498,227.44092946,230.14855957,698026,6,,,,,,,,,,,0.00754311,0.03360604,,,,
2025-09-16,229.26244468,230.78855154,225.2256081,225.37329102,923944,7,,,,,,,,,,,-0.02074864,0.02439023,,,,
2025-09-17,226.45634974,227.04711145,223.25642306,223.45333862,629440,8,,,,,,,,,,,-0.00851899,-0.00873549,,,,
2025-09-18,225.8163618,230.64086045,225.8163618,229.06550598,865341,9,,,,,,,,,,,0.02511561,0.01306337,,,,
2025-09-19,229.16397028,230.24702835,227.14555207,227.53939819,2140922,10,,,,,,,,,,,-0.00666232,-0.00387927,,,,
2025-09-22,226.55480989,226.89940836,223.55179884,226.4563446,935042,11,,,,,,,,,,,-0.00475985,-0.01604275,,,,
2025-09-23,230.98548298,231.47777939,226.99787903,226.99787903,891741,12,,,,,,,,,,,0.00239134,0.00720843,,,,
2025-09-24,228.8685991,229.85319193,226.80096318,228.81936646,911144,13,,,,,,,,,,,0.00802425,0.02401409,,,,
2025-09-25,228.67168172,229.21321077,224.29024669,227.49017334,720564,14,,,,,,,,,,,-0.00580892,-0.00687721,,,,
2025-09-26,228.03170003,235.9576601,228.03170003,231.62545776,1225890,15,,,,62.60392188,,,,,,,0.01817786,0.01795759,,,,
2025-09-29,234.28385959,235.31768506,230.29625564,230.64086914,736657,16,,,,60.79044591,,,,,,,-0.00425078,0.01847828,,,,
2025-09-30,231.03469399,234.33308587,229.85318564,233.93925476,1013795,17,,,,64.50037282,,,,,,,0.01430096,0.03057903,,,,
2025-10-01,235.31767147,241.96367265,232.90542219,241.07754517,1239746,18,,,,70.9143776,,,,,,,0.03051344,0.05357142,,,,rsi_overbought
2025-10-02,246.14819129,249.44658306,245.508212,246.64048767,1215960,19,,,,74.74407002,,,,,,,0.02307532,0.08418084,,,,rsi_overbought
2025-10-03,248.6096765,248.90505734,243.83439552,245.85281372,882453,20,229.88764801,,,73.27292443,229.88764801,243.75793726,216.01735876,,,,-0.00319361,0.06142397,,-0.42676677,,bollinger_above_upper|rsi_overbought
2025-10-06,244.42515601,250.72654375,242.40673782,246.14819336,1007419,21,231.06177521,,,73.48369534,231.06177521,246.20509847,215.91845195,,,,0.00120145,0.0672358,0.10546101,-0.04391174,0.21674307,rsi_overbought
2025-10-07,244.67130588,246.39434325,241.6682949,242.11135864,708863,22,232.16697998,,,65.84172226,232.16697998,247.1473852,217.18657476,,,,-0.01640002,0.03493259,0.10046984,-0.93936751,0.22166052,
2025-10-08,244.03132991,245.80358492,242.60365834,244.96669006,601629,23,233.14418869,,,68.34899864,233.14418869,248.7730642,217.51531318,,,,0.01179346,0.01613234,0.08670019,-1.14803383,0.21149496,
2025-10-09,246.14819753,247.62508671,244.72054099,245.16360474,642085,24,234.09678268,,,68.52060716,234.09678268,250.20995032,217.98361505,,,,0.00080384,-0.005988,0.0842587,-0.93480738,0.21179927,
2025-10-10,244.76978174,246.39435388,241.07755865,241.47138977,707372,25,234.74907608,,,61.75906626,234.74907608,250.94711765,218.55103452,,,,-0.01506021,-0.01782133,0.05711213,-0.67580858,0.2205312,
2025-10-13,242.7021314,243.88363979,241.76677122,243.09596252,573034,26,235.39644623,,,63.4672843,235.39644623,251.84033112,218.95256134,,,,0.00672781,-0.01239997,0.05625672,-1.03941595,0.22033182,
