date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,24.47999954,24.73999977,24.12000084,24.47999954,51122100,1,,,,,,,,,,,,,,,,
2025-09-09,24.53000069,24.80999947,24.27000046,24.44000053,42146200,2,,,,,,,,,,,-0.00163395,,,,,
2025-09-10,24.42000008,24.87000084,24.28000069,24.77000046,61600700,3,,,,,,,,,,,0.01350245,,,,,
2025-09-11,24.76000023,24.93000031,24.56999969,24.61000061,55536900,4,,,,,,,,,,,-0.00645942,,,,,
2025-09-12,24.61000061,24.62999916,24.04999924,24.07999992,52672800,5,,,,,,,,,,,-0.02153599,,,,,
2025-09-15,24.32999992,25.45999908,24.21999931,24.77000046,83951600,6,,,,,,,,,,,0.02865451,0.01184644,,,,
2025-09-16,24.81999969,25.34000015,24.69000053,25.27000046,60336600,7,,,,,,,,,,,0.02018571,0.03396072,,,,
2025-09-17,25.07999992,25.26000023,24.45000076,24.89999962,63093700,8,,,,,,,,,,,-0.0146419,0.00524825,,,,
2025-09-18,31.78000069,32.38000107,30.15999985,30.56999969,523908000,9,,,,,,,,,,,0.22771085,0.24217793,,,,
2025-09-19,30.37999916,30.62999916,29.32999992,29.57999992,225702900,10,,,,,,,,,,,-0.03238468,0.22840532,,,,
2025-09-22,29.67000008,30.10000038,28.72999954,28.76000023,130314500,11,,,,,,,,,,,-0.02772142,0.16108194,,,,
2025-09-23,28.98999977,30.20000076,28.81999969,29.34000015,126317900,12,,,,,,,,,,,0.0201669,0.16106053,,,,
2025-09-24,29.37999916,31.70000076,29.22999954,31.21999931,164458500,13,,,,,,,,,,,0.06407632,0.25381525,,,,
2025-09-25,31.61000061,34.25,31.20999908,33.99000168,295709300,14,,,,,,,,,,,0.08872525,0.11187445,,,,
2025-09-26,35.02000046,36.29999924,34.49000168,35.5,268583300,15,,,,82.71971603,,,,,,,0.04442478,0.20013523,,,,rsi_overbought
2025-09-29,34.52000046,35.04999924,33.72999954,34.47999954,152605900,16,,,,77.65437283,,,,,,,-0.02873241,0.19888732,,,,rsi_overbought
2025-09-30,33.93000031,34.24000168,33.02000046,33.54999924,124818400,17,,,,73.25008799,,,,,,,-0.02697217,0.14349008,,,,rsi_overbought
2025-10-01,33.52999878,36.06000137,33.5,35.93999863,162649700,18,,,,76.87928197,,,,,,,0.07123694,0.15118512,,,,rsi_overbought
2025-10-02,35.75999832,37.56999969,35.43999863,37.29999924,149361700,19,,,,78.65400364,,,,,,,0.03784086,0.09738151,,,,rsi_overbought
2025-10-03,37.95000076,38.08000183,36.45000076,36.83000183,125359300,20,29.71900005,,,76.46947333,29.71900005,39.15319703,20.28480308,,,,-0.01260047,0.03746484,,-0.1844869,,rsi_overbought
2025-10-06,37.18999863,38.68000031,36.43000031,36.59000015,112086100,21,30.32450008,,,75.31908158,30.32450008,39.8895539,20.75944626,,,,-0.00651647,0.06119491,0.49468958,-0.33570684,0.93146548,rsi_overbought
2025-10-07,36.63999939,38.04999924,36.34999847,37.16999817,111140200,22,30.96099997,,,76.24898274,30.96099997,40.5691438,21.35285613,,,,0.01585127,0.10789863,0.52086732,-0.38379547,0.92786451,rsi_overbought
