date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,11.43999958,11.66499996,11.31000042,11.59000015,10316800,1,,,,,,,,,,,,,,,,
2025-09-16,11.60999966,11.63000011,11.42000008,11.56999969,7286500,2,,,,,,,,,,,-0.00172567,,,,,
2025-09-17,11.63000011,11.98499966,11.61499977,11.81999969,7677000,3,,,,,,,,,,,0.02160761,,,,,
2025-09-18,12,12.17000008,11.82999992,12.14999962,11869200,4,,,,,,,,,,,0.02791878,,,,,
2025-09-19,12.09000015,12.125,11.77000046,11.86999989,13039200,5,,,,,,,,,,,-0.02304525,,,,,
2025-09-22,12.18000031,13.17000008,12.02000046,13.14000034,28233600,6,,,,,,,,,,,0.10699246,0.13373599,,,,
2025-09-23,13.17000008,13.21500015,12.48999977,12.52999973,16141400,7,,,,,,,,,,,-0.04642318,0.08297321,,,,
2025-09-24,12.61999989,12.63500023,12.22000027,12.31999969,12530300,8,,,,,,,,,,,-0.01675978,0.04230119,,,,
2025-09-25,12.15999985,12.21000004,11.88000011,12.14000034,8699000,9,,,,,,,,,,,-0.01461034,-0.00082299,,,,
2025-09-26,12.17000008,12.38000011,11.96000004,12.21000004,11597800,10,,,,,,,,,,,0.00576604,0.02864365,,,,
2025-09-29,12.31000042,12.68000031,12.17000008,12.56000042,13659600,11,,,,,,,,,,,0.02866506,-0.04414002,,,,
2025-09-30,15.18000031,15.18000031,13.34000015,13.38000011,80835400,12,,,,,,,,,,,0.0652866,0.06783722,,,,
2025-10-01,13.52000046,13.64000034,12.97000027,12.98999977,31188000,13,,,,,,,,,,,-0.02914801,0.05438312,,,,
2025-10-02,13.07999992,13.07999992,12.60999966,12.75,23590200,14,,,,,,,,,,,-0.01847573,0.05024709,,,,
2025-10-03,12.75,13.36499977,12.75,12.89999962,23026200,15,,,,62.6692403,,,,,,,0.01176468,0.05651102,,,,
2025-10-06,14.18999958,15.22000027,13.90999985,14.52000046,61163200,16,,,,72.08810723,,,,,,,0.12558146,0.15605095,,,,rsi_overbought
2025-10-07,15.01000023,15.26000023,14.17000008,14.81999969,42503600,17,,,,73.42528762,,,,,,,0.0206611,0.10762329,,,,rsi_overbought
2025-10-08,15.01500034,15.59000015,14.76500034,15.57999992,35929800,18,,,,76.49713588,,,,,,,0.05128207,0.19938416,,,,rsi_overbought
2025-10-09,16.44000053,18.73999977,16.19000053,18.51000023,99862100,19,,,,84.11883937,,,,,,,0.18806164,0.45176472,,,,rsi_overbought
2025-10-10,18.57999992,18.60000038,16.85000038,17.04999924,63675400,20,13.31999993,,,71.65020559,13.31999993,16.97775332,9.66224655,,,,-0.07887634,0.32170541,,1.29408313,,bollinger_above_upper|rsi_overbought
2025-10-13,17.31999969,17.46999931,16.61000061,17.13999939,40097200,21,13.5974999,,,71.92645266,13.5974999,17.52064076,9.67435903,,,,0.0052786,0.18044069,0.47886102,0.33093365,0.96254634,rsi_overbought
2025-10-14,16.78000069,16.90999985,16.04999924,16.47999954,34401900,22,13.84299989,,,66.78691106,13.84299989,17.84169501,9.84430477,,,,-0.03850641,0.11201079,0.42437338,0.05670336,0.98194023,
2025-10-15,17.02000046,17.20000076,16.18000031,16.69000053,33082300,23,14.08649993,,,67.5806938,14.08649993,18.15527986,10.01771999,,,,0.01274278,0.07124523,0.41201362,-0.04833686,0.9821966,
2025-10-16,16.93000031,17.57999992,15.80000019,15.93000031,37932500,24,14.27549996,,,61.82213938,14.27549996,18.31799649,10.23300344,,,,-0.04553626,-0.13938411,0.31111118,0.0999427,1.00656429,
2025-10-17,15.51500034,15.96000004,15.27499962,15.43999958,23036600,25,14.45399995,,,58.36879988,14.45399995,18.36913148,10.53886842,,,,-0.03075962,-0.09442814,0.30075819,-0.55730869,1.01063546,
2025-10-20,15.64999962,16.14999962,15.61999989,15.93000031,20296500,26,14.59349995,,,60.73106713,14.59349995,18.5102346,10.67676529,,,,0.0317358,-0.07059505,0.21232876,-0.65211518,0.95655594,
2025-10-21,15.68000031,16.59000015,15.42500019,16.28000069,19590200,27,14.78099999,,,62.37340134,14.78099999,18.64330961,10.91869038,,,,0.02197115,-0.01213585,0.29928181,-0.69326917,0.93346408,
2025-10-22,15.80000019,15.82999992,14.69999981,15.02999973,28047100,28,14.9165,,,53.73049527,14.9165,18.61042613,11.22257386,,,,-0.07678138,-0.0994608,0.21996754,-0.37398458,0.98092981,
2025-10-23,15,15.72999954,14.98999977,15.43999958,16109200,29,15.08149996,,,55.88953216,15.08149996,18.55269725,11.61030267,,,,0.02727877,-0.03075962,0.2718286,-0.92763745,0.97741631,
2025-10-24,15.56000042,16.75499916,15.31999969,16.47999954,34811800,30,15.29499993,,,60.87650669,15.29499993,18.55213664,12.03786323,,,,0.06735751,0.06735751,0.34971331,-0.15313105,0.99404565,
