date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,4.92999983,5.09000015,4.67000008,4.76999998,20913700,1,,,,,,,,,,,,,,,,
2025-09-16,4.80999994,4.92000008,4.65999985,4.84000015,21422800,2,,,,,,,,,,,0.01467509,,,,,
2025-09-17,4.80499983,4.88999987,4.57000017,4.71000004,28415200,3,,,,,,,,,,,-0.02685953,,,,,
2025-09-18,4.80000019,4.96999979,4.78999996,4.92999983,25034900,4,,,,,,,,,,,0.04670908,,,,,
2025-09-19,4.98999977,5.1500001,4.86000013,4.90999985,53313500,5,,,,,,,,,,,-0.00405679,,,,,
2025-09-22,5.11999989,5.26499987,4.92000008,4.98000002,29922900,6,,,,,,,,,,,0.01425665,0.04402517,,,,
2025-09-23,5.01000023,5.13000011,4.80000019,4.80999994,40399600,7,,,,,,,,,,,-0.03413656,-0.00619839,,,,
2025-09-24,4.88000011,5.17000008,4.82999992,4.88000011,42205200,8,,,,,,,,,,,0.01455305,0.03609343,,,,
2025-09-25,4.76000023,4.82000017,4.57999992,4.63000011,47211900,9,,,,,,,,,,,-0.05122951,-0.06085187,,,,
2025-09-26,4.61999989,4.73000002,4.57000017,4.71999979,39343200,10,,,,,,,,,,,0.01943837,-0.03869655,,,,
2025-09-29,4.7750001,5,4.69999981,4.90999985,40995500,11,,,,,,,,,,,0.04025425,-0.01405626,,,,
2025-09-30,4.8499999,4.88000011,4.73000002,4.88000011,28881800,12,,,,,,,,,,,-0.00610993,0.01455305,,,,
2025-10-01,4.82499981,5.23000002,4.80299997,5.0999999,43900000,13,,,,,,,,,,,0.04508192,0.04508192,,,,
2025-10-02,5.21000004,5.61000013,5.11499977,5.51999998,58334700,14,,,,,,,,,,,0.08235296,0.19222459,,,,
2025-10-03,5.5999999,5.69999981,5.34000015,5.48999977,49126400,15,,,,68.18181271,,,,,,,-0.00543482,0.1631356,,,,
2025-10-06,5.5999999,5.69999981,5.5,5.53000021,34740600,16,,,,68.8593175,,,,,,,0.00728605,0.12627299,,,,
2025-10-07,5.55000019,5.5999999,5.11000013,5.23000002,34119700,17,,,,58.75467755,,,,,,,-0.05424958,0.07172129,,,,
2025-10-08,5.25,6.30000019,5.19000006,6.09000015,94203500,18,,,,71.61412049,,,,,,,0.16443597,0.1941177,,,,rsi_overbought
2025-10-09,6.14499998,6.17999983,5.70499992,5.90999985,51030100,19,,,,66.91182684,,,,,,,-0.0295567,0.07065215,,,,
2025-10-10,6.03999996,6.19999981,5.30000019,5.32000017,60530300,20,5.10799999,,,54.32128707,5.10799999,5.90848987,4.30751012,,,,-0.09983074,-0.03096532,,1.11442759,,
2025-10-13,5.51999998,5.57000017,5.25,5.53000021,57007800,21,5.146,,,57.39428062,5.146,5.95084537,4.34115463,,,,0.03947369,0,0.15932919,0.81331671,0.86282855,
2025-10-14,5.32000017,6,5.07000017,5.88999987,104026800,22,5.19849999,,,62.10123746,5.19849999,6.05215744,4.34484253,,,,0.06509939,0.126195,0.21694208,2.8189841,0.88448107,volume_anomaly
2025-10-15,6.05000019,6.82000017,6.01000023,6.78999996,180161300,23,5.30249999,,,70.78955429,5.30249999,6.37222661,4.23277336,,,,0.15280138,0.11494249,0.44161357,3.61091672,0.99778505,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-16,6.78999996,7.03999996,6.25,6.36000013,229692500,24,5.374,,,63.32050386,5.374,6.52281508,4.22518493,,,,-0.0633284,0.07614218,0.29006092,3.24306269,1.03316869,volume_anomaly
2025-10-17,6.1500001,6.25,5.80999994,5.86000013,70191200,25,5.42150002,,,55.93070055,5.42150002,6.56820445,4.27479558,,,,-0.07861635,0.10150375,0.19348275,0.06724702,1.08144053,
2025-10-20,6.21999979,7.17999983,6.21000004,6.67999983,90054900,26,5.50650001,,,63.46188127,5.50650001,6.75702429,4.25597572,,,,0.13993169,0.20795652,0.34136542,0.40565509,1.16982138,
2025-10-21,6.65500021,6.69799995,6,6.11000013,58243200,27,5.57150002,,,56.26402257,5.57150002,6.80548988,4.33751015,,,,-0.0853293,0.03735149,0.27027031,-0.25146821,1.21092968,
2025-10-22,6.07000017,6.30999994,5.57999992,5.75,45277000,28,5.61500001,,,52.23444017,5.61500001,6.80911056,4.42088945,,,,-0.05891982,-0.15316642,0.17827866,-0.51719566,1.23754584,
2025-10-23,5.73999977,5.88999987,5.63000011,5.73000002,35164400,29,5.67,,,52.01157568,5.67,6.77562203,4.56437798,,,,-0.00347826,-0.09905662,0.23758097,-0.7044292,1.2180794,
2025-10-24,5.94000006,6.1500001,5.72399998,6.03999996,39056800,30,5.73600001,,,55.20207424,5.73600001,6.76160031,4.71039972,,,,0.05410121,0.03071669,0.27966107,-0.62588289,1.22606269,
2025-10-27,6.1500001,6.5,5.93499994,6.30000019,55252500,31,5.80550003,,,57.73983155,5.80550003,6.78514228,4.82585778,,,,0.0430464,-0.05688617,0.2830958,-0.317147,1.22681657,
2025-10-28,6.21999979,6.25,5.8499999,5.90999985,38643300,32,5.85700002,,,52.89904478,5.85700002,6.74015571,4.97384433,,,,-0.06190481,-0.03273327,0.21106551,-0.6675767,1.25404913,
2025-10-29,5.98999977,6.0999999,5.67999983,5.86999989,43607100,33,5.89550002,,,52.41368431,5.89550002,6.70757079,5.08342924,,,,-0.00676818,0.02086955,0.15098039,-0.56613875,1.24997637,
2025-10-30,5.67999983,5.84000015,5.63000011,5.6500001,33371600,34,5.90200002,,,49.71205559,5.90200002,6.70396257,5.10003748,0.28355738,0.40997834,-0.12642096,-0.03747867,-0.01396159,0.02355075,-0.73957905,1.2312616,
2025-10-31,5.69999981,5.73600006,5.40999985,5.51999998,43304100,35,5.90350003,,,48.13323712,5.90350003,6.70248119,5.10451887,0.23266662,0.374516,-0.14184938,-0.02300887,-0.08609271,0.00546452,-0.5326426,1.23446698,
2025-11-03,5.57000017,5.76000023,5.32999992,5.44000006,48329800,36,5.89900002,,,47.14103508,5.89900002,6.70730437,5.09069568,0.18376171,0.33636514,-0.15260343,-0.01449274,-0.13650795,-0.01627489,-0.44907591,1.23585425,
2025-11-04,5.19999981,5.32000017,4.96999979,5,43371800,37,5.88750002,,,42.01157295,5.88750002,6.73894287,5.03605718,0.10825202,0.29074252,-0.1824905,-0.08088236,-0.15397629,-0.04397706,-0.56197111,1.25444901,bollinger_below_lower
2025-11-05,5.07000017,5.19500017,4.85500002,4.96000004,57423900,38,5.83100002,,,41.56874891,5.83100002,6.76696791,4.89503212,0.04466749,0.24152751,-0.19686002,-0.00799999,-0.15502553,-0.1855501,-0.2400855,1.10378692,
2025-11-06,4.98000002,4.98999977,4.5999999,4.61999989,38326800,39,5.76650002,,,37.91086311,5.76650002,6.83955686,4.69344318,-0.032781,0.18666581,-0.21944681,-0.06854842,-0.18230092,-0.21827411,-0.6129829,1.12154636,bollinger_below_lower
2025-11-07,4.5,4.63999987,4.17999983,4.61999989,52638100,40,5.73150001,,,37.91086311,5.73150001,6.90178675,4.56121326,-0.09308645,0.13071536,-0.2238018,0,-0.1630435,-0.131579,-0.31413835,1.07269971,
2025-11-10,4.89499998,4.96000004,4.46999979,4.51000023,33369600,41,5.68050001,,,36.69914737,5.68050001,6.96481265,4.39618736,-0.14804839,0.07496261,-0.223011,-0.02380945,-0.17095585,-0.18444845,-0.67299285,1.06206998,
2025-11-11,4.51000023,4.76999998,4.46000004,4.71000004,24526100,42,5.62150002,,,40.42740996,5.62150002,6.96876798,4.27423205,-0.17346818,0.02527645,-0.19874463,0.04434585,-0.05799999,-0.20033953,-0.76961709,1.04638851,
2025-11-12,4.71999979,4.80000019,4.53999996,4.6500001,23549400,43,5.51450002,,,39.67250463,5.51450002,6.81258283,4.21641722,-0.19619344,-0.01901753,-0.17717591,-0.01273884,-0.06249999,-0.31516935,-0.73930472,0.86481557,
2025-11-13,4.53999996,4.61000013,4.30000019,4.32999992,25689900,44,5.41300001,,,35.82973598,5.41300001,6.74770746,4.07829256,-0.23728939,-0.0626719,-0.17461749,-0.06881724,-0.06277056,-0.31918242,-1.2297249,0.86869673,
2025-11-14,4.17000008,4.38000011,4.13000011,4.13999987,31415400,45,5.327,,,33.74001594,5.327,6.75388612,3.90011387,-0.28193962,-0.10652544,-0.17541418,-0.04387992,-0.10389611,-0.2935154,-0.78414116,0.84595411,
2025-11-17,4.13000011,4.28000021,4.01499987,4.11999989,24751300,46,5.199,,,33.51840643,5.199,6.57585009,3.82214991,-0.31530445,-0.14828125,-0.1670232,-0.00483091,-0.08647457,-0.38323353,-1.40067911,0.63107614,
2025-11-18,4.0250001,4.25,3.96000004,4.15999985,25783000,47,5.10149999,,,34.44578786,5.10149999,6.48266296,3.72033701,-0.33466089,-0.18555717,-0.14910371,0.00970873,-0.11677286,-0.31914898,-1.20632291,0.59771538,
2025-11-19,4.15999985,4.21999979,3.98000002,4.03000021,27836700,48,5.0155,,,32.84232778,5.0155,6.43801153,3.59298846,-0.35638273,-0.21972229,-0.13666045,-0.03124991,-0.13333331,-0.2991304,-0.91209679,0.58147846,
2025-11-20,4.1500001,4.36999989,3.80999994,3.8499999,38836000,49,4.92149999,,,30.71062585,4.92149999,6.39043536,3.45256463,-0.38369893,-0.25251761,-0.13118131,-0.04466509,-0.11085451,-0.32809775,0.13368369,0.58690405,
2025-11-21,3.91000009,4.26000023,3.8499999,4.17000008,33632400,50,4.828,5.1892,,38.36926406,4.828,6.23709336,3.41890664,-0.37520079,-0.27705425,-0.09814654,0.08311693,0.00724643,-0.30960263,-0.34264469,0.63873368,
2025-11-24,4.19999981,4.3499999,4.14499998,4.32999992,17701800,51,4.72949998,5.1804,,41.83127549,4.72949998,5.97969156,3.4793084,-0.35150339,-0.29194408,-0.05955931,0.03836927,0.05097088,-0.31269845,-1.70579839,0.63332571,
2025-11-25,4.28000021,4.40999985,4.17999983,4.36999989,16245900,52,4.65249999,5.17099999,,42.69789097,4.65249999,5.78669356,3.51830641,-0.32574044,-0.29870335,-0.02703709,0.00923787,0.05048078,-0.2605753,-1.618539,0.61852432,
2025-11-26,4.375,4.48000002,4.30000019,4.40999985,17253200,53,4.57949998,5.16499999,,43.6027471,4.57949998,5.56964095,3.58935902,-0.29865276,-0.29869323,0.00004047,0.00915331,0.09429271,-0.24872233,-1.36419391,0.62337494,
2025-11-28,4.46000004,4.64499998,4.4000001,4.63000011,10570800,54,4.52849998,5.159,,48.42648776,4.52849998,5.38948261,3.66751736,-0.2564769,-0.29024997,0.03377307,0.04988668,0.20259746,-0.18053097,-1.70180085,0.65345221,
2025-12-01,4.46000004,4.54400015,4.36000013,4.36000013,18257400,55,4.47049999,5.148,,43.50811463,4.47049999,5.20323397,3.73776602,-0.24204878,-0.28060973,0.03856095,-0.05831533,0.04556356,-0.2101449,-0.98023642,0.6740443,
2025-12-02,4.36999989,4.5170002,4.30999994,4.32000017,17620900,56,4.4145,5.1348,,42.81435593,4.4145,4.9983656,3.83063439,-0.23117718,-0.27072322,0.03954604,-0.0091743,-0.00230941,-0.20588233,-0.93894374,0.67393048,
2025-12-03,4.36999989,4.67000008,4.32999992,4.65999985,19822300,57,4.39749999,5.1318,,50.09816136,4.39749999,4.92969829,3.86530169,-0.19290257,-0.25515909,0.06225652,0.07870363,0.06636155,-0.06800003,-0.67669537,0.69007454,
2025-12-04,4.63000011,4.94000006,4.57999992,4.92000008,19905600,58,4.39549999,5.1326,,54.83563828,4.39549999,4.91946472,3.87153526,-0.13997626,-0.23212252,0.09214626,0.05579404,0.11564631,-0.00806451,-0.61933525,0.718468,bollinger_above_upper
2025-12-05,4.86999989,4.88000011,4.67000008,4.71000004,17128100,59,4.4,5.1342,,50.65285987,4.4,4.93306665,3.86693335,-0.11366675,-0.20843137,0.09476462,-0.04268293,0.0172786,0.01948055,-0.81957799,0.69218744,
2025-12-08,4.9749999,5.09000015,4.67999983,4.82000017,34939600,60,4.41000001,5.13620001,,52.6886177,4.41000001,4.9662015,3.85379853,-0.08298359,-0.18334181,0.10035822,0.02335459,0.10550459,0.04329011,1.49811341,0.69608161,
