date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-04,732.22132461,751.94131694,730.61194263,748.49401855,1532700,1,,,,,,,,,,,,,,,,
2025-09-05,769.80346954,777.96958807,761.22005893,776.57879639,1887300,2,,,,,,,,,,,0.03752171,,,,,
2025-09-08,784.47671076,793.46740846,781.59568557,791.03344727,1284500,3,,,,,,,,,,,0.01861324,,,,,
2025-09-09,789.99040849,800.56071708,787.92401824,799.85534668,1324100,4,,,,,,,,,,,0.01115237,,,,,
2025-09-10,801.53421741,804.29597302,785.83774145,787.94384766,1634300,5,,,,,,,,,,,-0.01489207,,,,,
2025-09-11,794.45097611,803.84902244,793.27871395,798.8916626,1297800,6,,,,,,,,,,,0.01389416,0.06733206,,,,
2025-09-12,803.22309903,810.43554573,801.01761156,808.5380249,1019700,7,,,,,,,,,,,0.01207468,0.04115388,,,,
2025-09-15,829.46005379,863.02866103,828.45666098,861.61798096,2702300,8,,,,,,,,,,,0.0656493,0.08923078,,,,
2025-09-16,874.17522251,875.68528389,861.88626735,872.66516113,1832400,9,,,,,,,,,,,0.01282144,0.09102873,,,,
2025-09-17,862.54184882,871.88028981,855.53804839,866.55541992,1553300,10,,,,,,,,,,,-0.00700124,0.09976799,,,,
2025-09-18,922.5859141,932.5303445,910.02876961,921.72161865,3176100,11,,,,,,,,,,,0.06366148,0.15375045,,,,
2025-09-19,920.00302793,932.50062932,919.80432606,926.04321289,2410200,12,,,,,,,,,,,0.00468861,0.14533044,,,,
2025-09-22,954.62464032,958.22091951,947.34270552,951.52508545,1885000,13,,,,,,,,,,,0.02751694,0.10434683,,,,
2025-09-23,958.09182134,971.07620296,949.73694457,957.19775391,1664800,14,,,,,,,,,,,0.00596166,0.09686716,,,,
2025-09-24,943.49808402,947.35266988,934.78558003,940.73632812,1400700,15,,,,86.79875298,,,,,,,-0.01719752,0.08560434,,,,rsi_overbought
2025-09-25,932.05354457,946.41877338,930.98060304,943.3291626,1272600,16,,,,86.93838037,,,,,,,0.00275618,0.02344259,,,,rsi_overbought
2025-09-26,940.04081704,948.96196629,936.57369104,945.28625488,955200,17,,,,87.04972159,,,,,,,0.00207467,0.02077985,,,,rsi_overbought
2025-09-29,957.4162465,965.70163491,956.06517089,956.30358887,1213800,18,,,,87.6860847,,,,,,,0.01165502,0.00502194,,,,rsi_overbought
2025-09-30,961.69795973,969.24820546,956.76054929,961.74768066,1303600,19,,,,87.99987905,,,,,,,0.00569285,0.00475338,,,,rsi_overbought
2025-10-01,959.28395479,998.77353939,958.49915217,996.69726562,1963800,20,880.63808289,,,89.7973547,880.63808289,1033.00143765,728.27472812,,,,0.03633966,0.05948631,,0.54266159,,rsi_overbought
2025-10-02,1032.19306671,1033.41498905,1015.19517619,1023.42095947,1689100,21,894.38442993,,,90.91760927,894.38442993,1046.1860204,742.58283947,,,,0.02681225,0.08490334,0.3673068,0.02838783,0.34106126,rsi_overbought
2025-10-03,1024.2455413,1033.03753746,1018.74179707,1025.45751953,1352300,22,906.82836609,,,90.99872283,906.82836609,1058.76491266,754.89181952,,,,0.00198995,0.08481163,0.32048097,-0.53499104,0.33489592,rsi_overbought
2025-10-06,1033.62371786,1052.06218413,1033.28597926,1036.46508789,1385400,23,919.09994812,,,91.44352514,919.09994812,1071.28992994,766.90996631,,,,0.0107343,0.08382432,0.31026708,-0.48657624,0.33470098,rsi_overbought
2025-10-07,1035.99802427,1038.00480997,994.44211041,995.73358154,1667800,24,928.89385986,,,76.39911998,928.89385986,1074.18252252,783.60519721,,,,-0.03929848,0.03533765,0.24489207,-0.00223097,0.38194558,rsi_overbought
2025-10-08,971.54311192,985.09376595,971.01655503,981.33850098,1947000,25,938.56359253,,,71.89715533,938.56359253,1070.13671845,806.99046661,,,,-0.01445676,-0.01540966,0.24544218,0.48082482,0.38157221,rsi_overbought
2025-10-09,978.89457431,981.06034566,965.14527935,974.11608887,1496000,26,947.32481384,,,69.67862117,947.32481384,1062.89123572,831.75839196,,,,-0.00735976,-0.04817653,0.2193344,-0.36749501,0.38681397,
2025-10-10,964.33068036,969.80459217,929.2817826,930.05670166,2933900,27,953.40074768,,,57.93422965,953.40074768,1050.43276797,856.3687274,,,,-0.04523012,-0.09303244,0.15029433,1.97066148,0.43163168,
2025-10-13,965.36382287,978.72571914,960.63499766,978.20910645,2223900,28,959.23030396,,,64.89776727,959.23030396,1047.07991257,871.38069534,,,,0.05177362,-0.05620641,0.1353165,0.82983193,0.41016998,
2025-10-14,961.12184699,986.97133947,959.67139014,976.73883057,2422100,29,964.43398743,,,64.54641824,964.43398743,1042.99508059,885.87289427,,,,-0.00150303,-0.01907614,0.11925957,1.09950449,0.4104689,
2025-10-15,1023.38128118,1026.23247401,987.03096774,1003.19439697,2900300,30,971.26593628,,,67.91266234,971.26593628,1037.36869214,905.16318042,,,,0.02708561,0.02227152,0.1576806,1.68698346,0.4138135,
2025-10-16,1030.37524575,1042.50521573,1004.47596988,1012.91040039,1938400,31,975.82537537,,,69.07401548,975.82537537,1040.18642562,911.46432512,,,,0.00968507,0.03982514,0.09893311,0.25538391,0.36052166,
2025-10-17,1013.90378946,1026.0039868,1008.35038479,1022.5269165,1663700,32,980.64956055,,,70.22277629,980.64956055,1043.81448584,917.48463525,,,,0.00949395,0.09942428,0.1041892,-0.19324468,0.36085487,rsi_overbought
2025-10-20,1024.99074065,1045.27700764,1024.73243428,1035.32263184,1271700,33,984.83943787,,,71.72764808,984.83943787,1050.77705562,918.90182012,,,,0.01251382,0.0583858,0.08806657,-0.87285678,0.35282157,rsi_overbought
2025-10-21,1029.52082253,1030.68307983,1017.44045307,1018.30474854,1072200,34,987.8947876,,,66.88617716,987.8947876,1054.08845536,921.70111983,48.33992032,55.60490043,-7.26498011,-0.01643728,0.04255582,0.06383947,-1.15211124,0.36006956,
2025-10-22,1019.72533141,1026.41134278,991.13391043,1004.94287109,1328600,35,991.10511475,,,63.274837,991.10511475,1053.98372972,928.22649978,45.11977654,53.50787565,-8.38809911,-0.01312169,0.00174291,0.06825137,-0.6750122,0.35740423,
2025-10-23,997.93902617,1033.68328808,997.9191378,1029.62011719,1318200,36,995.41966248,,,66.83615527,995.41966248,1056.40680615,934.4325188,44.05124162,51.61654885,-7.56530723,0.02455587,0.01649674,0.09147491,-0.700196,0.36467062,
2025-10-24,1031.13022175,1036.56435682,1025.41789195,1026.33178711,1032700,37,999.47193909,,,65.91883711,999.47193909,1057.28359958,941.66027859,42.44974501,49.78318808,-7.33344307,-0.00319373,0.00372105,0.0857365,-1.23902711,0.36559373,
2025-10-27,1043.13099094,1053.78073099,1042.48522508,1053.03564453,1265600,38,1004.30854187,,,69.57122037,1004.30854187,1063.04294405,945.57413969,42.84147566,48.39484559,-5.55336994,0.02601874,0.01710869,0.10115204,-0.81870923,0.37250422,
2025-10-28,1049.87648247,1053.69129097,1044.83963038,1045.5847168,856900,39,1008.50039368,,,67.40077983,1008.50039368,1066.44780652,950.55298083,42.06578919,47.12903431,-5.06324512,-0.00707567,0.02678959,0.08717155,-1.46502174,0.37486222,
2025-10-29,1065.53284408,1072.59881922,1059.74064694,1065.71191406,1530000,40,1011.9511261,,,70.11319061,1011.9511261,1074.69697285,949.20527934,42.5842638,46.22008021,-3.63581641,0.0192497,0.06047015,0.06924334,-0.23919231,0.36095837,rsi_overbought
2025-10-30,1067.54317179,1080.90878978,1065.48301664,1070.29980469,1283100,41,1014.29506836,,,70.71141089,1014.29506836,1081.89438246,946.69575426,42.87117093,45.55029835,-2.67912743,0.004305,0.03950941,0.04580602,-0.63450679,0.35099251,rsi_overbought
2025-10-31,1066.54804573,1068.14035943,1046.36513242,1054.15759277,1179400,42,1015.73007202,,,65.7265068,1015.73007202,1085.40298234,946.0571617,41.31969754,44.70417819,-3.38448065,-0.01508195,0.0271119,0.02798758,-0.79352212,0.35622745,
2025-11-03,1057.92945189,1068.25974923,1057.8995664,1061.71118164,868100,43,1016.99237671,,,66.90232394,1016.99237671,1088.9979674,944.98678601,40.23584146,43.81051085,-3.57466938,0.00716552,0.0082386,0.02435788,-1.24245595,0.35529133,
2025-11-04,1044.92198044,1058.1683002,1023.90312416,1025.20690918,1735100,44,1018.46604309,,,56.76670764,1018.46604309,1089.87491337,947.05717281,36.01611663,42.251632,-6.23551537,-0.03438249,-0.01948939,0.02959961,0.20373537,0.34852927,
2025-11-05,1026.16226278,1045.60872886,1025.8637723,1038.75170898,1169400,45,1021.33670349,,,59.23453586,1021.33670349,1091.14268291,951.53072408,33.38012119,40.47732984,-7.09720865,0.01321177,-0.02529784,0.058505,-0.67518497,0.34550089,
2025-11-06,1034.90027183,1036.54239468,1021.52456956,1024.2713623,1073000,46,1023.84446716,,,55.58178415,1023.84446716,1090.20322245,957.48571188,29.77935498,38.33773487,-8.55837989,-0.01394014,-0.04300519,0.05148798,-0.78778655,0.34874198,
2025-11-07,1026.16226738,1030.44172423,992.04645825,1012.09002686,1841900,47,1027.94613342,,,52.64095658,1027.94613342,1078.98135773,976.91090911,25.64714552,35.799617,-10.15247148,-0.01189268,-0.03990633,0.0882025,0.65133436,0.30759066,
2025-11-10,1031.80520556,1037.79639683,1016.18037651,1033.81555176,992900,48,1030.72645569,,,57.00980112,1030.72645569,1076.39711363,985.05579775,23.85047462,33.40978852,-9.5593139,0.021466,-0.02627422,0.05684515,-0.87072628,0.2635181,
2025-11-11,1026.82912634,1032.01413805,1012.90613073,1017.52386475,1026000,49,1032.7657074,,,53.05715367,1032.7657074,1071.76703756,993.76437723,20.87140445,30.90211171,-10.03070726,-0.01575879,-0.00749414,0.04175634,-0.73550647,0.27103214,
2025-11-12,1025.22683995,1033.72586129,1020.32039511,1032.36242676,961900,50,1034.22410889,964.43949219,,56.04628233,1034.22410889,1070.79918321,997.64903456,19.4832273,28.61833483,-9.13510753,0.01458301,-0.00615092,0.02907515,-0.99202128,0.25978219,
2025-11-13,1036.00489162,1036.8707205,1004.67566265,1014.97607422,1406300,51,1034.32739258,969.7691333,,51.87797658,1034.32739258,1070.6720748,997.98271036,16.78664753,26.25199737,-9.46534983,-0.01684133,-0.00907502,0.00203935,0.59466343,0.26548765,
2025-11-14,984.56238882,1013.19463334,976.30214833,1002.15771484,1307800,52,1033.3089325,974.28071167,,48.9853799,1033.3089325,1071.98598342,994.63188157,13.46009458,23.69361681,-10.23352223,-0.01262922,-0.00981366,-0.01992046,0.31894087,0.26680349,
2025-11-17,999.90856129,1020.09147345,999.46076484,1015.11541748,1691500,53,1032.29857178,978.76235107,,51.90473818,1032.29857178,1071.76020826,992.8369353,11.73409239,21.30171193,-9.56761953,0.0129298,-0.01808846,-0.01951779,1.61223709,0.26707018,
2025-11-18,1006.23823365,1012.84639035,989.23004622,999.25183105,1414000,54,1031.3459259,982.75028076,,48.26334003,1031.3459259,1072.97335212,989.71849968,8.98261834,18.83789321,-9.85527487,-0.01562737,-0.01795735,-0.01871043,0.54519496,0.26648838,
2025-11-19,1000.95367759,1039.72707053,1000.18734546,1034.35290527,1587800,55,1032.81642761,987.67846191,,55.6735107,1032.81642761,1072.64828969,992.98456553,9.52462473,16.97523951,-7.45061478,0.03512736,0.00192808,0.02926538,1.09556227,0.28966151,
2025-11-20,1037.23902097,1045.91723407,972.32140936,976.34204102,2055100,56,1030.1525238,991.22746948,,44.36420097,1030.1525238,1076.99288771,983.3121599,5.21308359,14.62280833,-9.40972474,-0.05608421,-0.03806398,-0.05174537,2.2422589,0.33928236,bollinger_below_lower|volume_anomaly
2025-11-21,958.7367334,973.85399472,941.57930117,961.94134521,2481800,57,1026.93300171,994.29553589,,42.07906326,1026.93300171,1082.43247713,971.43352629,0.62691369,11.8236294,-11.19671571,-0.01474964,-0.04012978,-0.06273843,2.67052742,0.34195849,bollinger_below_lower|volume_anomaly
2025-11-24,972.93837215,990.37449187,972.9085474,983.08953857,1628100,58,1023.43569641,996.72496704,,46.44199654,1023.43569641,1080.70215653,966.1692363,-1.2863483,9.20163386,-10.48798216,0.02198491,-0.031549,-0.0664233,0.54210904,0.33790604,
2025-11-25,989.07078429,1002.05827857,969.07696414,998.41577148,1193000,59,1021.07724915,999.23997925,,49.41575118,1021.07724915,1078.38590354,963.76859476,-1.54807803,7.05169148,-8.59976951,0.01558986,-0.00083669,-0.0451125,-0.57605757,0.34368198,
2025-11-26,1035.68649488,1049.9478278,1032.33263796,1035.98498535,1572400,60,1019.59090271,1002.62857056,,55.88233149,1019.59090271,1073.64127202,965.5405334,1.26147931,5.89364905,-4.63216974,0.03762883,0.00157788,-0.02789396,0.37521998,0.36336526,
2025-11-28,1035.41771371,1055.20251641,1030.48138376,1054.92382812,939700,61,1018.82210388,1005.29261475,,58.74543715,1018.82210388,1070.34377691,967.30043085,4.95911449,5.70674214,-0.74762765,0.018281,0.08048592,-0.01436605,-1.13813564,0.36917962,
2025-12-01,1050.97287521,1086.07399242,1049.42028748,1082.77978516,2103100,62,1020.2532135,1008.42734619,,62.5909224,1020.2532135,1076.95143337,963.55499363,10.02173561,6.56974083,3.45199478,0.02640566,0.12561934,0.02715172,1.50214876,0.37629791,bollinger_above_upper
2025-12-02,1084.3920939,1107.87905463,1083.46661549,1103.47033691,1426000,63,1022.34117126,1011.46625122,,65.18667522,1022.34117126,1087.44505108,957.23729145,15.52449719,8.3606921,7.16380509,0.01910873,0.12245151,0.03933194,-0.13187053,0.38075658,bollinger_above_upper
2025-12-03,1104.92316864,1136.25239482,1100.32529819,1135.45629883,2059500,64,1027.85364075,1015.03142212,,68.79185045,1027.85364075,1109.55021236,946.15706913,22.21044699,11.13064308,11.07980391,0.0289867,0.13725798,0.10753867,1.31570609,0.36686702,bollinger_above_upper
2025-12-04,1117.15449079,1124.13093123,1096.89200473,1104.76403809,1511800,65,1031.1542572,1018.31197632,,62.1418842,1031.1542572,1119.41547067,942.89304373,24.74723077,13.85396062,10.89327015,-0.02703077,0.06639001,0.06354967,-0.00446315,0.38215608,
