date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,50.27000046,50.31999969,49.66999817,50.25,157700,1,,,,,,,,,,,,,,,,
2025-09-09,49.88000107,50.04000092,49.15000153,49.58000183,139300,2,,,,,,,,,,,-0.0133333,,,,,
2025-09-10,49.40000153,49.79999924,48.79999924,48.95999908,119400,3,,,,,,,,,,,-0.0125051,,,,,
2025-09-11,49.04000092,50.43000031,49.04000092,50.29000092,144200,4,,,,,,,,,,,0.02716507,,,,,
2025-09-12,49.79999924,50.04999924,49.29000092,49.40000153,126300,5,,,,,,,,,,,-0.01769734,,,,,
2025-09-15,49.63000107,50.13999939,49.43999863,49.65000153,96700,6,,,,,,,,,,,0.00506073,-0.01194027,,,,
2025-09-16,49.38999939,49.63000107,48.86999893,49.45000076,126600,7,,,,,,,,,,,-0.00402821,-0.00262205,,,,
2025-09-17,49.50999832,50.5,48.99000168,49.36999893,140700,8,,,,,,,,,,,-0.00161783,0.00837418,,,,
2025-09-18,49.63999939,51.20000076,49.49000168,50.88999939,163300,9,,,,,,,,,,,0.03078794,0.01193077,,,,
2025-09-19,50.95999908,51.09000015,50,50.54999924,589000,10,,,,,,,,,,,-0.00668108,0.02327931,,,,
2025-09-22,50.40999985,51.20000076,49.95999908,51.02000046,232200,11,,,,,,,,,,,0.00929775,0.02759313,,,,
2025-09-23,51.20000076,51.95999908,50.77000046,50.84000015,159800,12,,,,,,,,,,,-0.00352803,0.02810919,,,,
2025-09-24,50.79999924,50.93999863,49.09000015,49.34000015,191800,13,,,,,,,,,,,-0.02950433,-0.00060763,,,,
2025-09-25,48.88000107,49.18999863,48.41999817,49.18000031,142500,14,,,,,,,,,,,-0.0032428,-0.03360187,,,,
2025-09-26,49.31999969,50.59999847,48.93999863,50.40000153,187700,15,,,,50.79534146,,,,,,,0.02480686,-0.00296731,,,,
2025-09-29,50.79000092,50.79000092,49.43999863,49.63999939,126500,16,,,,46.73872199,,,,,,,-0.01507941,-0.02704824,,,,
2025-09-30,49.65999985,50.52999878,49.45999908,50.02999878,139300,17,,,,48.99000188,,,,,,,0.00785656,-0.01593236,,,,
2025-10-01,49.52000046,49.68000031,48.90999985,49,73700,18,,,,43.73249737,,,,,,,-0.02058762,-0.00689096,,,,
2025-10-02,49.08000183,49.99000168,48.90999985,49.86999893,129100,19,,,,48.7368109,,,,,,,0.01775508,0.01403007,,,,
