date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-04,37.08000183,37.08000183,35.56000137,36.52000046,5562200,1,,,,,,,,,,,,,,,,
2025-09-05,37.29999924,39.84999847,37.29999924,39.65000153,10718100,2,,,,,,,,,,,0.08570649,,,,,
2025-09-08,39.58000183,39.63999939,37.95000076,38.81000137,7661600,3,,,,,,,,,,,-0.02118538,,,,,
2025-09-09,38.91999817,39.47000122,36.88000107,37.93999863,9337300,4,,,,,,,,,,,-0.02241697,,,,,
2025-09-10,38.49000168,39.18000031,36.86999893,37.11999893,5559800,5,,,,,,,,,,,-0.02161307,,,,,
2025-09-11,37.25,39.09000015,37.11000061,37.31999969,6648600,6,,,,,,,,,,,0.00538795,0.02190578,,,,
2025-09-12,37.54000092,38.40000153,37.22000122,37.63000107,6466100,7,,,,,,,,,,,0.00830657,-0.05094579,,,,
2025-09-15,37.86000061,38.61999893,37,37.97999954,6694700,8,,,,,,,,,,,0.00930105,-0.02138629,,,,
2025-09-16,38.31000137,39.5,37.5,38.99000168,7011000,9,,,,,,,,,,,0.026593,0.02767536,,,,
2025-09-17,39.11999893,40.86000061,38.11999893,38.72000122,8156800,10,,,,,,,,,,,-0.00692486,0.04310351,,,,
2025-09-18,39.59999847,39.59999847,37.45000076,38.43999863,8642500,11,,,,,,,,,,,-0.00723147,0.03001069,,,,
2025-09-19,38.41999817,39.02000046,37.52000046,38.41999817,41411900,12,,,,,,,,,,,-0.0005203,0.02099381,,,,
2025-09-22,38.75,40.74000168,38.52999878,40.5,9081200,13,,,,,,,,,,,0.05413852,0.06635072,,,,
2025-09-23,41.27999878,41.27999878,37.27999878,37.36000061,9101500,14,,,,,,,,,,,-0.07753085,-0.04180562,,,,
2025-09-24,37.68000031,39.04999924,37.52999878,37.99000168,6014700,15,,,,55.26881697,,,,,,,0.01686298,-0.01885329,,,,
2025-09-25,37.09999847,37.15999985,36.11000061,37.08000183,6379000,16,,,,51.64099461,,,,,,,-0.02395367,-0.03537973,,,,
2025-09-26,36.99000168,36.99000168,35.56000137,36.5,5254500,17,,,,49.41464064,,,,,,,-0.0156419,-0.04997393,,,,
