date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-09,454.43848206,455.44899819,449.33682923,450.28848267,418700,1,,,,,,,,,,,,,,,,
2025-09-10,447.56104848,450.21977973,437.00456713,442.03753662,682900,2,,,,,,,,,,,-0.01832369,,,,,
2025-09-11,440.99762162,449.62136548,438.42718422,447.98294067,533800,3,,,,,,,,,,,0.01345,,,,,
2025-09-12,447.21770957,449.60173855,442.59680836,443.49938965,437300,4,,,,,,,,,,,-0.01000831,,,,,
2025-09-15,444.8289961,448.82758934,441.34252744,443.14486694,512800,5,,,,,,,,,,,-0.00079938,,,,,
2025-09-16,441.30313028,443.22365009,433.8673301,435.72875977,634900,6,,,,,,,,,,,-0.01673518,-0.03233421,,,,
2025-09-17,437.22574637,439.73716753,430.37101951,431.58239746,611100,7,,,,,,,,,,,-0.00951593,-0.02365215,,,,
2025-09-18,429.98689863,429.98689863,420.85711128,423.5753479,813600,8,,,,,,,,,,,-0.01855277,-0.05448331,,,,
2025-09-19,426.1557489,426.1557489,420.96543446,422.22607422,1485700,9,,,,,,,,,,,-0.00318544,-0.04796696,,,,
2025-09-22,422.2260906,423.00415089,416.46456123,418.5328064,1033300,10,,,,,,,,,,,-0.00874713,-0.05553954,,,,
2025-09-23,418.57217098,419.84266905,414.15991704,417.47897339,689100,11,,,,,,,,,,,-0.00251792,-0.04188336,,,,
2025-09-24,417.58731881,422.51169757,416.9569839,418.86764526,553900,12,,,,,,,,,,,0.00332633,-0.02946078,,,,
2025-09-25,420.86694949,421.17228863,413.87435557,416.35623169,565100,13,,,,,,,,,,,-0.00599572,-0.01704329,,,,
2025-09-26,424.48144713,434.96053951,422.90563993,429.15960693,931900,14,,,,,,,,,,,0.03075101,0.01642138,,,,
2025-09-29,430.57782763,431.01117536,425.46632012,427.83987427,704800,15,,,,32.10510849,,,,,,,-0.00307516,0.02223737,,,,
2025-09-30,425.7617371,426.42161702,421.20178802,425.18066406,564900,16,,,,30.70328962,,,,,,,-0.00621543,0.01844809,,,,
2025-10-01,425.41707456,429.34671902,420.6995115,421.68438721,606700,17,,,,28.91561674,,,,,,,-0.00822304,0.00672466,,,,rsi_oversold
2025-10-02,420.06921945,426.43153882,416.97672504,424.71783447,492200,18,,,,32.58325295,,,,,,,0.00719364,0.02008281,,,,
2025-10-03,423.49656673,424.71780302,419.67524406,420.25631714,541200,19,,,,30.12163101,,,,,,,-0.01050466,-0.02074587,,,,
2025-10-06,419.55708705,423.49659022,415.0069657,416.51382446,442600,20,428.83269806,,,28.1972265,428.83269806,450.49156525,407.17383087,,,,-0.00890526,-0.02647264,,-0.90207969,,rsi_oversold
2025-10-07,416.96684699,418.5525126,403.63162075,405.20742798,789700,21,426.57864532,,,23.34482767,426.57864532,448.21990342,404.93738723,,,,-0.02714531,-0.04697588,-0.10011594,0.45340336,0.19357502,rsi_oversold
2025-10-08,407.87645918,410.84091476,405.06955727,407.24612427,557200,22,424.83907471,,,25.82355699,424.83907471,446.82073611,402.8574133,,,,0.00503124,-0.0342395,-0.07870692,-0.49030739,0.19044298,rsi_oversold
2025-10-09,409.27493502,409.49160887,398.98297214,399.199646,883000,23,422.39990997,,,22.70314678,422.39990997,444.39408407,400.40573588,,,,-0.01975827,-0.06008269,-0.10889543,0.78627082,0.18668215,bollinger_below_lower|rsi_oversold
2025-10-10,400.84444506,405.76882399,398.25421693,400.22396851,881800,24,420.23613892,,,23.96276091,420.23613892,442.01532487,398.45695296,,,,0.00256594,-0.04766698,-0.09757718,0.70138088,0.18807196,rsi_oversold
2025-10-13,398.44133584,404.68544457,397.43677339,402.08538818,991900,25,418.18316498,,,26.31272106,418.18316498,438.63804507,397.72828489,,,,0.00465095,-0.03464095,-0.09265475,1.05181363,0.19055315,rsi_oversold
