date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,2.92000008,2.92000008,2.76999998,2.82999992,5702000,1,,,,,,,,,,,,,,,,
2025-09-03,2.83999991,2.93000007,2.81999993,2.8599999,3976200,2,,,,,,,,,,,0.0106007,,,,,
2025-09-04,2.82999992,2.83999991,2.74000001,2.78999996,4675200,3,,,,,,,,,,,-0.0244755,,,,,
2025-09-05,2.8499999,2.94000006,2.80999994,2.8900001,5932800,4,,,,,,,,,,,0.03584235,,,,,
2025-09-08,2.8900001,3.01999998,2.8499999,2.97000003,8082900,5,,,,,,,,,,,0.02768163,,,,,
2025-09-09,2.86999989,2.9000001,2.81999993,2.83999991,7499000,6,,,,,,,,,,,-0.04377108,0.00353357,,,,
2025-09-10,2.8499999,2.88000011,2.77999997,2.79999995,4679100,7,,,,,,,,,,,-0.01408449,-0.020979,,,,
2025-09-11,2.80999994,2.86999989,2.75999999,2.83999991,4341200,8,,,,,,,,,,,0.0142857,0.01792113,,,,
2025-09-12,2.82999992,2.86999989,2.78999996,2.8599999,3695200,9,,,,,,,,,,,0.00704225,-0.0103807,,,,
2025-09-15,2.92000008,3.20000005,2.88499999,3.20000005,13210400,10,,,,,,,,,,,0.11888118,0.07744108,,,,
2025-09-16,3.18000007,3.27999997,3.1400001,3.22000003,8223800,11,,,,,,,,,,,0.00624999,0.13380286,,,,
2025-09-17,3.20000005,3.31999993,3.1500001,3.25999999,7301700,12,,,,,,,,,,,0.01242235,0.16428573,,,,
2025-09-18,3.27999997,3.28500009,3.1400001,3.22000003,6077100,13,,,,,,,,,,,-0.01226993,0.13380286,,,,
2025-09-19,3.24000001,3.29999995,3.2249999,3.25,9019600,14,,,,,,,,,,,0.00931676,0.13636368,,,,
2025-09-22,3.23000002,3.29999995,3.16000009,3.29999995,4978400,15,,,,72.815536,,,,,,,0.0153846,0.03124997,,,,rsi_overbought
2025-09-23,3.11999989,3.23000002,2.96000004,3.06999993,61995600,16,,,,58.69957894,,,,,,,-0.06969698,-0.04658388,,,,
2025-09-24,5.05499983,6.30000019,4.98000002,6.01000023,289496400,17,,,,88.74231639,,,,,,,0.95765484,0.84355836,,,,rsi_overbought
2025-09-25,6.78000021,7.53000021,6.36999989,7.36999989,212855500,18,,,,91.73673651,,,,,,,0.22628945,1.28881982,,,,rsi_overbought
2025-09-26,7.13999987,7.48000002,6.26000023,6.32999992,85062000,19,,,,75.25265578,,,,,,,-0.14111262,0.94769228,,,,rsi_overbought
2025-09-29,6.1500001,6.38000011,5.51000023,5.73999977,48684800,20,3.68249997,,,67.80859861,3.68249997,6.43987461,0.92512533,,,,-0.09320698,0.7393939,,0.11925901,,
2025-09-30,5.6500001,5.80999994,5.23000002,5.71000004,77951200,21,3.82649997,,,67.44327607,3.82649997,6.68953524,0.9634647,,,,-0.00522643,0.85993491,1.01766791,0.46254584,3.49216298,
2025-10-01,7.46999979,7.55000019,6.57999992,7.03999996,215964600,22,4.03549998,,,74.10426678,4.03549998,7.18204394,0.88895602,,,,0.23292468,0.17138098,1.46153854,1.95237449,3.54337795,rsi_overbought
2025-10-02,6.71999979,7.17999983,6.63000011,6.86000013,76336800,23,4.23899999,,,71.95848621,4.23899999,7.55869817,0.9193018,,,,-0.02556816,-0.06919942,1.45878144,0.22802932,3.54371989,rsi_overbought
2025-10-03,6.96999979,9.32999992,6.90999985,9.03999996,191312900,24,4.54649998,,,79.6456789,4.54649998,8.40501408,0.68798588,,,,0.31778423,0.42812007,2.12802755,1.44223453,3.64922568,bollinger_above_upper|rsi_overbought
2025-10-06,9.44999981,9.47999954,8.43999958,8.44999981,89786900,25,4.82049997,,,73.75282944,4.82049997,8.96033316,0.68066677,,,,-0.0652655,0.47212546,1.84511775,0.22099198,3.67911547,rsi_overbought
2025-10-07,8.59000015,9.39999962,7.96999979,8.27000046,78123600,26,5.092,,,72.00252201,5.092,9.38603125,0.79796874,,,,-0.0213017,0.44833632,1.91197208,0.04361744,3.67098804,rsi_overbought
2025-10-08,8.31000042,8.92000008,7.80999994,7.86999989,65044600,27,5.34549999,,,68.13291404,5.34549999,9.66689552,1.02410447,,,,-0.04836766,0.11789772,1.81071429,-0.1504223,3.68319316,
2025-10-09,8.17000008,8.43000031,7.86999989,8.03999996,53637700,28,5.60549999,,,68.89794933,5.60549999,9.91834351,1.29265648,,,,0.02160103,0.17201163,1.83098599,-0.32418412,3.68184017,
2025-10-10,8.10000038,8.60000038,7.48999977,7.48999977,79708700,29,5.83699999,,,63.57984342,5.83699999,10.03091986,1.64308011,,,,-0.06840798,-0.1714602,1.61888113,-0.0508668,3.70782055,
2025-10-13,7.75,8.71000004,7.71999979,8.43000031,88109900,30,6.0985,,,68.11038304,6.0985,10.25414812,1.94285188,,,,0.12550074,-0.00236681,1.63437506,0.00807568,3.70902654,
2025-10-14,8.10000038,10.10999966,7.67000008,10.05000019,134855300,31,6.44000001,,,74.09194383,6.44000001,10.71418304,2.16581698,,,,0.1921708,0.21523575,2.12111804,0.54015115,3.72530315,rsi_overbought
2025-10-15,10.19999981,10.52000046,9.10000038,9.43999958,90400700,32,6.74899999,,,68.85474501,6.74899999,10.95188425,2.54611573,,,,-0.06069658,0.1994917,1.8957054,-0.10317979,3.75003595,
2025-10-16,8.92000008,9.02000046,7.32000017,7.38999987,97381700,33,6.95749998,,,54.82846835,6.95749998,10.84102353,3.07397643,,,,-0.217161,-0.08084578,1.29503099,-0.07333332,3.87461559,
2025-10-17,7.05499983,7.21999979,6.63999987,6.78999996,51408400,34,7.13449998,,,51.52043334,7.13449998,10.62920156,3.63979839,1.44262884,1.73961261,-0.29698378,-0.08119079,-0.09345792,1.08923076,-0.78271332,3.90329591,
2025-10-20,7.13000011,7.17000008,6.80000019,6.98000002,30129700,35,7.31849998,,,52.49781636,7.31849998,10.34200972,4.29499025,1.2808732,1.64786473,-0.36699153,0.02798234,-0.17200477,1.11515155,-1.14153915,3.90174068,
2025-10-21,6.98000002,7.25,6.6500001,6.94000006,37057200,36,7.51199999,,,52.25894875,7.51199999,9.8380576,5.18594238,1.13635385,1.54556255,-0.40920871,-0.00573065,-0.30945274,1.26058639,-1.00270834,3.88112271,
2025-10-22,6.61000013,6.82999992,6.36999989,6.69000006,30465300,37,7.54599998,,,50.70605772,7.54599998,9.80207093,5.28992903,0.99023351,1.43449674,-0.44426323,-0.03602305,-0.29131352,0.11314473,-1.12851388,2.11903996,
2025-10-23,6.82999992,6.8499999,6.46000004,6.48000002,16625700,38,7.50149999,,,49.3787118,7.50149999,9.80432675,5.19867322,0.84771492,1.31714038,-0.46942546,-0.03139014,-0.12313936,-0.12075982,-1.33314608,1.97610509,
2025-10-24,6.59000015,7,6.55000019,6.71999979,24768600,39,7.52099998,,,50.9587301,7.52099998,9.79017519,5.25182477,0.74553976,1.20282026,-0.45728049,0.037037,-0.0103093,0.06161135,-1.0714792,1.90984109,
2025-10-27,6.53000021,6.53000021,5.92000008,6.01000023,32440300,40,7.5345,,,46.34971696,7.5345,9.76399745,5.30500256,0.60035368,1.08232694,-0.48197326,-0.1056547,-0.13896845,0.04703841,-0.89279585,1.91876288,
2025-10-28,5.88999987,6.05000019,5.71999979,5.80000019,24981800,41,7.53900001,,,45.05179836,7.53900001,9.75406564,5.32393438,0.46301013,0.95846358,-0.49545345,-0.03494177,-0.16426511,0.01576185,-0.96253607,1.92431451,
2025-10-29,5.82000017,5.92000008,5.67999983,5.75,16243900,42,7.47450001,,,44.73062295,7.47450001,9.81547817,5.13352185,0.34613969,0.8359988,-0.48985911,-0.00862072,-0.14050823,-0.18323863,-1.14861916,1.74075377,
