date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-16,0.067,0.068,0.065,0.0655,2039867,1,,,,,,,,,,,,,,,,
2025-09-17,0.0655,0.067,0.065,0.066,1209317,2,,,,,,,,,,,0.00763354,,,,,
2025-09-18,0.066,0.068,0.064,0.0642,2926306,3,,,,,,,,,,,-0.0272727,,,,,
2025-09-19,0.0665,0.068,0.065,0.0665,833496,4,,,,,,,,,,,0.03582555,,,,,
2025-09-22,0.0665,0.068,0.064,0.0652,3394345,5,,,,,,,,,,,-0.01954889,,,,,
2025-09-23,0.0665,0.068,0.063,0.065,7096932,6,,,,,,,,,,,-0.00306748,-0.00763362,,,,
2025-09-24,0.0635,0.064,0.062,0.064,4074098,7,,,,,,,,,,,-0.0153846,-0.030303,,,,
2025-09-25,0.063,0.069,0.062,0.0635,2415884,8,,,,,,,,,,,-0.00781253,-0.01090345,,,,
2025-09-26,0.0635,0.064,0.062,0.063,1669032,9,,,,,,,,,,,-0.00787397,-0.05263156,,,,
2025-09-29,0.063,0.064,0.062,0.063,1670522,10,,,,,,,,,,,0,-0.0337423,,,,
2025-09-30,0.063,0.064,0.062,0.0626,2400081,11,,,,,,,,,,,-0.0063492,-0.03692304,,,,
2025-10-01,0.0625,0.063,0.06,0.0616,2307102,12,,,,,,,,,,,-0.0159745,-0.03750004,,,,
2025-10-02,0.0615,0.062,0.06,0.061,3405843,13,,,,,,,,,,,-0.00974025,-0.03937008,,,,
2025-10-03,0.061,0.062,0.06,0.0615,1343312,14,,,,,,,,,,,0.00819675,-0.02380954,,,,
2025-10-06,0.0615,0.062,0.059,0.0602,4405363,15,,,,27.73108469,,,,,,,-0.02113823,-0.04444448,,,,rsi_oversold
2025-10-07,0.0605,0.062,0.059,0.061,1526605,16,,,,32.60999425,,,,,,,0.01328902,-0.02555916,,,,
2025-10-08,0.061,0.065,0.06,0.064,2885920,17,,,,47.04703428,,,,,,,0.04918036,0.03896108,,,,
2025-10-09,0.0635,0.069,0.062,0.0674,4027293,18,,,,58.02285932,,,,,,,0.05312495,0.10491801,,,,
2025-10-10,0.0665,0.0724,0.064,0.0724,2435276,19,,,,68.39698652,,,,,,,0.07418398,0.17723572,,,,
2025-10-13,0.0695,0.071,0.066,0.0695,2135835,20,0.064355,,,59.25069965,0.064355,0.07024549,0.05846451,,,,-0.04005524,0.15448502,,-0.41046376,,
2025-10-14,0.0695,0.071,0.065,0.0696,1862607,21,0.06456,,,59.45205971,0.06456,0.07086631,0.05825369,,,,0.00143888,0.14098363,0.06259539,-0.59737809,0.4494597,
2025-10-15,0.067,0.068,0.065,0.066,1620321,22,0.06456,,,49.89383075,0.06456,0.07086631,0.05825369,,,,-0.05172416,0.03124997,0,-0.79542675,0.48775473,
2025-10-16,0.0655,0.0674,0.064,0.064,677731,23,0.06455,,,45.51574941,0.06455,0.0708592,0.0582408,,,,-0.030303,-0.05044506,-0.00311526,-1.32923973,0.49003352,
2025-10-17,0.064,0.066,0.062,0.063,1415568,24,0.064375,,,43.46220807,0.064375,0.07065222,0.05809778,,,,-0.01562498,-0.1298342,-0.05263156,-0.85948153,0.47515879,
