allocation_plan_id,allocation_intent_id,run_id,as_of,security_id,strategy_id,sleeve,tier,assessment_id,relationship_id,valuation_mark,valuation_mark_currency,valuation_mark_as_of,position_cap_pct,target_quantity,bear_return_pct,base_return_pct,bull_return_pct,expected_return_pct,confidence_adjusted_expected_return_pct,margin_of_safety_pct,bear_base_payoff_ratio,expected_bear_payoff_ratio,rank,effective_score,candidate_edge,current_weight_pct,pending_weight_pct,target_weight_pct,target_value_base,delta_value_base,disposition,reason,assessment_as_of
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_099561384c0f5e697727,strategy_9e32f52be0584d72ded5,baseline,watch,assessment_e3b684463a0aed194b14,,,,,0,0,,,,,,,,,,54,0,0,0,0,0,0,excluded,market_data_not_ok|relationship_missing_or_stale,2026-08-31T08:45:47Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_0a56aa634d077fe5796f,strategy_b4bc572c5b0910f61e0b,baseline,watch,assessment_5112d6834a7a34c32dd7,,,,,0,0,,,,,,,,,,88,28,0,0,0,0,0,excluded,market_data_not_ok|relationship_missing_or_stale,2026-09-03T12:34:21Z
allocation_plan_cf731760648bb43b2e47,allocation_intent_be3be8b49c1130d3b629,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_0b67d6c8e3fd3366a257,strategy_0f119d2662d7483fdda5,baseline,watch,assessment_f57755bede2469149efb,relationship_8f324efeca539dfb6189,,,,0,0,,,,,,,,,,78,18,0,0,0,0,0,excluded,market_data_not_ok,2026-09-05T15:22:00Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_0c8b3c4291cd97f56d8c,strategy_48c3958c159732708838,baseline,watch,assessment_87bdc100f723d484acc1,,,,,0,0,,,,,,,,,,62,2,0,0,0,0,0,excluded,market_data_not_ok|relationship_missing_or_stale,2026-09-01T06:49:44Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_0cf8075039299094d614,strategy_c622d13c49734c0cea8d,baseline,watch,assessment_ea9c9772e692259611ba,,,,,0,0,,,,,,,,,,78,18,0,0,0,0,0,excluded,assessment_stale|market_data_not_ok|relationship_missing_or_stale,2026-08-05T16:29:53Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_18a3ab0ee6086ee85d0f,strategy_3c658fdd0262eba2c4ec,baseline,watch,assessment_a0ec02ee0eba52fb57ab,,,,,0,0,,,,,,,,,,82,22,0,0,0,0,0,excluded,assessment_stale|market_data_not_ok|relationship_missing_or_stale,2026-08-03T06:01:36Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_1c055eb9b2bb1f5a8ff2,strategy_b0f413bf3b8c283c37b7,baseline,watch,assessment_52370d00fd199e7540c1,,,,,0,0,,,,,,,,,,74,14,0,0,0,0,0,excluded,assessment_stale|market_data_not_ok|relationship_missing_or_stale,2026-08-05T16:18:44Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_1e8fbdb0f45f2b413e00,strategy_73c7c4b4b58d61f06500,baseline,watch,assessment_2c8e04cee17905a2dec7,,,,,0,0,,,,,,,,,,64,4,0,0,0,0,0,excluded,market_data_not_ok|relationship_missing_or_stale,2026-08-28T21:56:53Z
allocation_plan_cf731760648bb43b2e47,allocation_intent_aa1a3d4f6c978e509edd,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_1f9cce545ede94cd6349,strategy_bd005fc3733b1475b6f9,baseline,watch,assessment_22c4de6d85879f55d22b,relationship_3570e003fd90cd83d26f,,,,0,0,,,,,,,,,,88,28,0,0,0,0,0,excluded,market_data_not_ok,2026-08-12T00:12:37Z
allocation_plan_cf731760648bb43b2e47,,daily-20260910T193402Z,2026-09-10T19:43:26Z,security_2010347f1a0a5ea60f47,strategy_a2d642098047c094a999,baseline,watch,assessment_bafae6a672bab7d1327a,,,,,0,0,,,,,,,,,,88,28,0,0,0,0,0,excluded,assessment_stale|market_data_not_ok|relationship_missing_or_stale,2026-08-06T15:48:55Z
