date,performance_epoch_id,base_currency,cash_base,market_value_base,equity_base,gross_exposure_base,net_exposure_base,realized_pnl_base,unrealized_pnl_base,net_external_flow_base,daily_pnl_base,daily_return_pct,cumulative_return_pct,run_id,generated_at
2026-07-24,performance_epoch_bc3c0720291f25256897,EUR,100000,0,100000,0,0,0,0,0,0,0,0,gha-30129065584-1,2026-07-24T21:51:25Z
2026-07-25,performance_epoch_bc3c0720291f25256897,EUR,100000,0,100000,0,0,0,0,0,0,0,0,local-20260725-solar-reset-02,2026-07-25T09:24:01Z
2026-07-26,performance_epoch_bc3c0720291f25256897,EUR,100000,0,100000,0,0,0,0,0,0,0,0,local-20260726-daily-01,2026-07-26T09:55:23Z
2026-07-27,performance_epoch_bc3c0720291f25256897,EUR,100000,0,100000,0,0,0,0,0,0,0,0,local-20260727T092114Z,2026-07-27T09:23:05Z
2026-07-28,performance_epoch_bc3c0720291f25256897,EUR,100000,0,100000,0,0,0,0,0,0,0,0,local-20260727-daily-all-08,2026-07-28T00:21:22Z
2026-07-28,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,local-20260728-plan-implementation,2026-07-28T13:15:59Z
2026-07-29,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,youtube-bootstrap-20260729,2026-07-29T14:30:18Z
2026-07-30,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,local-20260729-20ops-4,2026-07-30T00:02:15Z
2026-07-31,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,gha-30613872508-1,2026-07-31T08:02:28Z
2026-08-01,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,gha-30693087454-1,2026-08-01T09:32:24Z
2026-08-03,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,gha-30788518712-1,2026-08-03T06:55:46Z
2026-08-05,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260805T065913Z,2026-08-05T11:35:26Z
2026-08-06,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260806T094838Z,2026-08-06T09:56:15Z
2026-08-07,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,local-20260807T085336Z-terafab,2026-08-07T09:35:34Z
2026-08-08,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260808T110128Z,2026-08-08T11:13:14Z
2026-08-09,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260809T110514Z,2026-08-09T11:20:11Z
2026-08-10,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260810T071837Z,2026-08-10T07:46:24Z
2026-08-11,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260811T075824Z,2026-08-11T08:32:26Z
2026-08-12,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260812T000832Z,2026-08-12T00:40:50Z
2026-08-13,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260813T092636Z,2026-08-13T09:31:48Z
2026-08-15,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260813T231401Z,2026-08-15T07:23:15Z
2026-08-16,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260816T123918Z,2026-08-16T12:42:36Z
2026-08-17,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260817T010615Z,2026-08-17T01:18:35Z
2026-08-18,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260818T091246Z,2026-08-18T10:45:50Z
2026-08-19,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260819T090759Z,2026-08-19T09:26:30Z
2026-08-20,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260820T074907Z,2026-08-20T08:34:58Z
2026-08-21,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260821T153352Z,2026-08-21T16:28:37Z
2026-08-22,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260822T152115Z,2026-08-22T16:05:49Z
2026-08-23,performance_epoch_f20320f2ff68cb5015b6,EUR,10000,0,10000,0,0,0,0,0,0,0,0,daily-20260823T152232Z,2026-08-23T15:43:17Z
