source_id,url,canonical_url,source_type,title,publisher,license,status,content_hash,first_seen_at,last_checked_at,last_changed_at,related_entity_ids
source_abb_q2_2026_results,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108472A9735&LanguageCode=en&DocumentPartId=&Action=Launch,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108472A9735&LanguageCode=en&DocumentPartId=&Action=Launch,issuer-release,ABB Q2 2026 results,ABB Ltd,,available,7129a0f6f3777204d3b4b426f66c6069ce702d26ee364c76f2cf50fb04a54508,2026-07-28T00:40:19Z,2026-07-28T00:39:25Z,2026-07-28T00:39:25Z,idea_humanoid_robotics_embodied_ai_components|security_c120e9f26ebb6159adf9
source_abb_share_listing_2026,https://global.abb/group/en/investors/investor-and-shareholder-resources/share-listing,https://global.abb/group/en/investors/investor-and-shareholder-resources/share-listing,issuer-release,ABB share listing and capital data,ABB Ltd,,available,d982a37747ddf71731ff81e546e794f03eb1b98835067e72a681a655d4ac9605,2026-07-28T00:40:27Z,2026-07-28T00:39:25Z,2026-07-28T00:39:25Z,security_c120e9f26ebb6159adf9
source_alb_q1_2026_results_sec,https://www.sec.gov/Archives/edgar/data/915913/000091591326000070/a1q26earningsreleaseex991.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591326000070/a1q26earningsreleaseex991.htm,filing,Albemarle Q1 2026 results exhibit,U.S. Securities and Exchange Commission,,available,197132b1bc66f6201081d938a5884a4895c57b755536cc95e21db466b34aa7e7,2026-07-28T00:58:43Z,2026-07-28T00:58:00Z,2026-07-28T00:58:00Z,idea_critical_minerals_lithium|security_66cdcf90aac0d83e76f3
source_anet_q1_2026_10q,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000078/anet-20260331.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000078/anet-20260331.htm,filing,Arista Networks Q1 2026 Form 10-Q,U.S. Securities and Exchange Commission,,available,f71bc98384b0e63b1d0e2c175081998f089ecbd16740d46c311416f79ae801d8,2026-07-27T22:39:17Z,2026-07-27T22:38:47Z,2026-07-27T22:38:47Z,idea_ai_compute_networking_hyperscaler_monetization|security_6f9a1450edceb9307c9a
source_atkr_june_2026_litigation_8k,https://www.sec.gov/Archives/edgar/data/1666138/000166613826000014/atkr-20260604.htm,https://www.sec.gov/Archives/edgar/data/1666138/000166613826000014/atkr-20260604.htm,filing,Atkore 2026-06-04 Form 8-K,U.S. Securities and Exchange Commission,,available,93b3ee36f5c0d9dce2677297607a80cdd66ca861a4d6797a2ad30e4ca0db11ab,2026-07-28T00:26:58Z,2026-07-28T00:25:52Z,2026-07-28T00:25:52Z,security_22c2b9d782a62d7a9b86
source_atkr_q2_2026_10q,https://www.sec.gov/Archives/edgar/data/1666138/000162828026030764/atkr-20260327.htm,https://www.sec.gov/Archives/edgar/data/1666138/000162828026030764/atkr-20260327.htm,filing,Atkore fiscal Q2 2026 Form 10-Q,U.S. Securities and Exchange Commission,,available,4bc93c64246d090766b40a6bfd65795981e0fa2fe711842442cb1ce45acba3d1,2026-07-28T00:26:42Z,2026-07-28T00:25:52Z,2026-07-28T00:25:52Z,idea_solar_storage_grid_flexibility_reset|security_22c2b9d782a62d7a9b86
source_atkr_q2_2026_results,https://investors.atkore.com/investors/news/news-details/2026/Atkore-Inc--Announces-Second-Quarter-2026-Results/default.aspx,https://investors.atkore.com/investors/news/news-details/2026/Atkore-Inc--Announces-Second-Quarter-2026-Results/default.aspx,issuer_release,Atkore fiscal Q2 2026 results,Atkore Inc.,,available,6776b93b55cee0b3f26797c9078fa89426d44a34b3c5c15706ab81bd3bca601f,2026-07-28T00:26:51Z,2026-07-28T00:25:52Z,2026-07-28T00:25:52Z,idea_solar_storage_grid_flexibility_reset|security_22c2b9d782a62d7a9b86
source_coin_july_2026_management_8k,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000080/coin-20260722.htm,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000080/coin-20260722.htm,filing,Coinbase July 2026 Form 8-K,U.S. Securities and Exchange Commission,,available,47c7e56a2431b908a25467a78e94192456245811b60ef2ae36cbc9f51a1ab424,2026-07-27T22:55:52Z,2026-07-27T22:55:05Z,2026-07-27T22:55:05Z,idea_digital_finance_crypto_rails|security_37ddcbdaad296ad831f2
source_coin_q1_2026_10q,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000054/coin-20260331.htm,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000054/coin-20260331.htm,filing,Coinbase Q1 2026 Form 10-Q,U.S. Securities and Exchange Commission,,available,bf2393062a2dbaa79513d85526514597e7fd5dc588374816e8e35a89ed83a88e,2026-07-27T22:55:44Z,2026-07-27T22:55:05Z,2026-07-27T22:55:05Z,idea_digital_finance_crypto_rails|security_37ddcbdaad296ad831f2
source_crwd_q1_2027_10q,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000025/crwd-20260430.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000025/crwd-20260430.htm,filing,CrowdStrike fiscal Q1 2027 Form 10-Q,U.S. Securities and Exchange Commission,,available,5cebcdaf54ce867e95d558e2ebeb4cb0f9cebd0193bd138262b5d11c000792c5,2026-07-28T01:21:16Z,2026-07-28T01:20:18Z,2026-07-28T01:20:18Z,idea_cybersecurity_geopolitical_continuity|security_8472507d7d320aa388a7
